dtfk1,ft1,dtsk1,dtfk3,ft4,dtsk4,dtfk5,ft5,dtfk7,ft7,dtfk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft14,dtsk14,gender
78,62,79,62,78,63,63,125,78,125,63,62,63,78,94,63,93,78,62,63,2
94,78,78,62,63,78,47,125,62,78,78,78,94,78,93,63,78,63,47,62,2
109,47,63,31,47,125,125,47,93,16,78,94,78,47,63,109,110,16,0,31,2
47,16,78,78,93,32,484,500,609,47,16,93,78,31,62,79,109,0,94,16,2
94,156,0,78,47,125,0,47,31,78,78,609,78,47,63,109,110,16,0,31,2
94,32,109,78,157,78,78,172,79,78,94,266,79,79,78,78,63,94,31,79,2
94,16,93,78,0,94,109,157,125,141,110,47,78,78,110,78,78,78,94,94,2
110,78,78,93,157,78,47,156,140,63,79,125,79,79,78,78,63,94,31,79,2
94,109,62,63,94,78,78,187,63,62,63,110,109,78,94,63,188,78,78,63,2
94,47,63,78,63,62,63,62,62,94,78,109,78,63,109,78,62,63,62,47,2
63,62,63,47,94,78,63,140,63,47,62,62,109,78,94,63,188,47,78,63,2
78,47,157,125,0,78,78,78,63,16,266,141,62,31,109,47,93,31,31,63,2
94,15,94,125,78,47,141,47,62,47,156,165,63,15,125,46,63,16,0,63,2
47,47,16,78,0,78,0,15,125,94,31,62,62,31,109,47,93,63,31,63,2
62,79,109,94,62,109,109,31,94,141,110,94,94,141,0,62,93,31,32,93,2
78,125,93,94,78,31,110,31,78,78,156,62,46,63,172,16,125,78,93,78,2
78,31,78,31,62,109,0,0,78,47,63,78,94,141,0,62,93,78,32,93,2
