dtfk1,ft1,dtsk3,dtfk4,ft4,dtsk4,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,gender
57,4369,90,90,63,80,110,89,79,78,69,111,41,63,109,81,2
192,4,65,78,31,78,65,89,94,150,78,94,94,141,141,79,2
74,6,104,90,63,80,103,11,47,78,69,111,41,63,109,78,2
110,156,109,109,63,172,109,79,109,78,156,63,141,78,125,15,2
94,15,63,156,16,78,109,109,110,63,110,47,62,109,62,410,2
187,78,78,109,63,172,109,93,141,78,156,63,141,78,125,125,2
93,32,93,93,32,187,78,63,78,78,94,78,47,63,78,20,2
125,32,93,62,16,62,78,47,94,63,94,31,63,109,15,32,2
78,78,93,93,32,187,63,63,94,78,94,78,47,63,78,125,2
62,141,78,78,219,62,47,63,94,1015,79,125,62,63,62,62,2
62,78,46,62,63,78,78,79,63,62,93,110,93,188,485,47,2
31,109,62,78,219,62,109,94,63,1015,79,125,62,63,62,63,2
109,125,125,125,63,109,125,94,94,109,78,93,203,94,78,47,2
94,16,78,94,31,110,187,16,109,78,109,110,62,94,62,78,2
125,0,94,125,63,109,110,94,94,109,78,93,203,94,78,94,2
93,47,94,94,31,79,140,78,110,79,125,62,109,110,94,31,2
94,16,47,78,32,78,124,62,94,93,79,93,140,78,0,62,2
79,31,62,94,31,79,125,78,78,79,125,62,109,110,94,62,2
94,31,79,79,15,140,90,109,110,78,94,94,47,78,78,16,2
94,0,78,78,32,94,93,31,78,78,78,94,78,94,31,78,2
62,16,78,79,15,140,125,62,109,78,94,94,47,78,78,94,2
63,343,47,47,62,78,79,62,156,156,63,109,62,110,31,47,2
63,0,47,93,47,63,141,110,78,47,62,125,63,140,94,16,2
203,47,47,47,62,78,110,62,47,156,63,109,62,110,31,62,2
140,31,94,94,62,172,100,94,94,62,141,62,125,110,94,16,2
125,32,78,93,32,78,110,16,94,46,109,31,110,110,47,16,2
31,109,94,94,62,172,125,79,516,62,141,62,125,110,94,79,2
63,78,62,62,63,78,79,63,78,94,78,93,63,63,62,47,2
78,62,62,63,78,63,62,78,63,63,78,94,63,79,78,78,2
94,78,78,62,63,78,63,62,78,94,78,93,63,63,62,63,2
109,47,78,78,47,125,47,93,78,78,47,63,109,16,62,16,2
47,16,110,16,93,32,47,609,16,78,31,62,79,78,62,0,2
94,156,110,78,47,125,62,31,78,78,47,63,109,16,62,16,2
94,32,62,62,157,78,62,79,94,79,79,78,78,78,93,94,2
94,16,63,93,0,94,78,125,110,78,78,110,78,141,94,78,2
110,78,78,62,157,78,94,140,79,79,79,78,78,78,93,94,2
94,109,63,63,94,78,63,63,63,109,78,94,63,78,78,78,2
94,47,63,62,63,62,78,62,78,78,63,109,78,156,125,63,2
63,62,63,63,94,78,47,63,62,109,78,94,63,78,78,47,2
78,47,156,156,0,78,180,63,266,62,31,109,47,46,0,31,2
94,15,78,15,78,47,187,62,156,63,15,125,46,1390,141,16,2
47,47,94,156,0,78,172,125,31,62,31,109,47,46,0,63,2
62,79,78,78,62,109,125,94,110,94,141,0,62,15,32,31,2
78,125,63,47,78,31,125,78,156,46,63,172,16,0,500,78,2
78,31,156,78,62,109,94,78,63,94,141,0,62,15,32,78,2
