ft1,dtsk1,dtfk4,dtsk4,ft5,dtsk5,dtfk6,dtfk7,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtsk12,dtfk13,ft14,gender
31,141,94,172,15,100,78,94,46,78,47,62,141,62,125,94,16,47,2
32,110,93,78,46,110,62,16,141,47,94,46,109,31,110,47,16,62,2
109,16,94,172,94,125,141,79,15,78,47,62,141,62,125,94,79,47,2
78,78,62,78,62,79,62,63,78,109,62,94,78,93,63,62,47,47,2
62,79,63,63,125,62,94,78,125,62,78,63,78,94,63,78,78,62,2
78,78,62,78,125,63,0,62,78,109,62,94,78,93,63,62,63,47,2
47,63,78,125,47,47,110,93,16,15,78,78,47,63,109,62,16,0,2
16,78,16,32,500,47,78,609,47,31,63,78,31,62,79,62,0,94,2
156,0,78,125,47,62,78,31,78,15,78,78,47,63,109,62,16,0,2
32,109,62,78,172,62,63,79,78,141,62,79,79,78,78,93,94,31,2
16,93,93,94,157,78,79,125,141,94,78,78,78,110,78,94,78,94,2
78,78,62,78,156,94,62,140,63,141,62,79,79,78,78,93,94,31,2
109,62,63,78,187,63,63,63,62,156,63,109,78,94,63,78,78,78,2
47,63,62,62,62,78,109,62,94,63,78,78,63,109,78,125,63,62,2
62,63,63,78,140,47,63,63,47,156,63,109,78,94,63,78,47,78,2
47,157,156,78,78,180,78,63,16,78,94,62,31,109,47,0,31,31,2
15,94,15,47,47,187,62,62,47,94,62,63,15,125,46,141,16,0,2
47,16,156,78,15,172,94,125,94,78,94,62,31,109,47,0,63,31,2
79,109,78,109,31,125,63,94,141,63,78,94,141,0,62,32,31,32,2
125,93,47,31,31,125,94,78,78,94,94,46,63,172,16,500,78,93,2
31,78,78,109,0,94,0,78,47,63,78,94,141,0,62,32,78,32,2
