@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,9,10,12,13,14,16,17,18,22,23,24,26,33,36,37,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,156,31,63,31,31,78,32,93,797,47,94,16,62,47,125,62,47,79,78,78,16,1
110,15,141,15,31,125,63,125,203,610,125,125,47,93,47,141,31,16,109,16,93,47,1
47,31,94,15,110,125,0,16,46,125,47,47,93,79,0,93,1000,78,94,15,63,93,1
32,62,203,16,31,15,250,78,453,656,0,125,47,93,47,141,31,16,63,219,93,47,1
94,62,63,31,172,78,78,79,62,109,78,40,60,106,47,125,63,94,94,62,79,62,1
78,47,63,297,62,47,94,93,63,115,62,47,78,31,78,109,101,176,78,62,141,62,1
63,62,62,47,172,78,78,140,63,62,94,40,60,106,47,125,63,94,141,235,79,62,1
78,78,109,297,79,78,47,234,78,0,94,141,62,109,140,16,109,203,78,109,16,62,2
78,47,93,203,63,141,94,109,32,62,110,78,78,63,109,16,125,63,265,110,16,78,2
78,16,78,172,79,94,125,109,109,813,94,141,62,109,140,16,109,203,219,78,16,62,2
375,16,62,94,156,141,109,62,94,93,235,156,63,62,94,62,109,47,63,109,47,110,2
94,31,63,62,47,141,47,125,156,172,47,63,62,63,79,78,94,62,78,31,31,78,2
171,63,94,47,156,94,63,15,62,953,47,156,63,62,94,62,109,47,110,172,47,110,2
109,47,78,16,141,47,62,47,62,0,94,63,62,78,32,141,16,78,78,47,31,78,2
63,15,94,31,172,47,47,125,16,141,47,15,63,78,31,94,968,63,78,16,31,110,2
32,93,62,16,141,47,94,203,78,735,47,63,62,78,32,141,16,78,15,93,31,78,2
62,16,62,32,31,63,62,32,78,0,94,16,188,359,218,47,16,47,78,16,46,63,2
47,359,63,15,16,94,31,47,16,79,94,62,63,94,94,15,94,156,78,15,47,47,2
63,78,78,15,31,94,125,78,78,703,31,16,188,359,218,47,16,47,15,94,46,63,2
172,437,78,94,31,62,93,16,94,94,94,125,63,109,62,94,78,94,78,94,78,62,2
219,15,94,62,62,62,31,109,125,94,32,78,78,63,94,109,109,78,78,46,63,78,2
140,110,94,47,31,78,109,16,78,937,31,125,63,109,62,94,78,94,94,78,78,62,2
57,4369,69,166,63,110,89,36,79,78,141,47,78,78,69,111,63,78,37,78,69,61,2
192,4,98,49,31,65,89,24,81,172,406,58,68,150,78,94,141,62,13,85,63,78,2
74,6,79,21,63,103,11,73,31,74,89,47,78,78,69,111,63,78,15,94,69,61,2
110,156,94,172,63,109,79,78,78,78,63,110,250,78,156,63,78,47,63,78,78,125,2
94,15,78,62,16,109,109,94,15,141,110,78,78,63,110,47,109,94,94,62,172,125,2
