@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,12,14,16,21,22,23,24,26,27,30,33,34,36,40,42'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
94,16,110,172,125,0,110,187,109,47,62,109,0,62,110,125,93,93,62,140,16,0,3546,1
250,0,109,78,94,47,125,140,125,0,141,15,860,15,141,250,31,16,125,0,109,0,4802,1
125,15,78,78,78,16,141,125,79,78,78,63,109,47,47,62,140,78,0,110,15,62,3298,1
78,15,125,78,78,78,0,125,62,110,78,78,47,78,109,78,93,109,94,15,94,31,3000,1
78,31,78,94,78,16,187,94,0,47,140,63,937,47,47,62,140,78,78,141,78,62,4078,1
93,47,109,297,297,16,203,137,63,172,125,16,94,157,62,94,78,94,94,109,125,31,4810,1
172,16,94,78,93,32,156,137,78,94,109,0,16,110,93,109,63,78,15,78,0,15,3762,1
62,110,94,125,297,16,0,140,125,16,47,16,110,157,62,94,78,94,78,15,141,31,4143,1
94,78,109,110,110,109,203,109,390,500,125,47,94,156,78,109,63,110,78,94,78,47,5623,1
500,15,109,78,125,47,0,109,63,609,46,109,141,79,62,78,110,94,79,78,78,31,5015,1
93,375,110,93,110,109,0,125,78,141,141,31,1020,156,78,109,63,110,94,484,203,47,6649,1
156,47,141,109,109,31,78,31,62,78,15,47,687,94,16,47,125,47,31,78,0,78,3281,1
78,156,47,47,31,156,531,31,79,172,47,79,0,31,94,94,0,109,32,78,31,62,3485,1
78,156,31,47,109,31,671,31,109,0,78,32,797,94,16,47,125,47,0,79,78,78,4676,1
110,15,141,110,110,31,125,125,31,47,63,125,610,125,47,47,141,16,46,109,16,93,4046,1
47,31,94,125,16,110,0,125,63,78,0,16,125,47,93,0,93,78,0,94,15,63,4154,1
32,62,203,16,110,31,657,15,47,125,250,78,656,125,47,47,141,16,93,63,219,93,6861,1
94,62,63,63,63,172,78,78,141,78,78,79,109,40,60,47,125,94,63,94,62,79,3348,1
78,47,63,62,79,62,78,47,67,91,94,93,115,47,78,78,109,176,63,78,62,141,3587,1
63,62,62,94,63,172,62,78,86,115,78,140,62,40,60,47,125,94,62,141,235,79,3553,1
78,78,109,109,109,79,109,78,125,78,47,234,0,141,62,140,16,203,32,78,109,16,3921,2
