@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,9,12,14,16,23,25,26,27,31,32,33,34,35,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
62,78,125,93,63,94,78,79,62,125,109,62,156,94,78,47,94,62,47,78,63,78,47,438,62,94,94,1
62,31,47,109,63,94,62,93,63,47,94,62,94,125,453,78,63,93,47,94,141,62,94,47,62,93,62,1
78,47,94,78,78,78,52,40,271,380,125,15,62,47,16,62,94,62,47,62,63,78,32,94,31,62,78,1
62,31,78,110,0,78,31,78,32,0,125,157,15,62,31,32,78,78,63,62,63,141,62,32,62,78,79,1
63,0,62,125,78,62,16,40,271,125,94,0,94,62,0,32,76,62,47,62,63,78,79,31,156,62,78,1
78,94,94,109,78,78,563,78,140,79,93,125,63,47,141,62,62,63,125,47,63,62,63,125,62,62,78,1
63,47,78,109,63,63,109,63,94,94,125,62,172,78,78,63,78,62,62,78,63,78,78,63,46,63,78,1
63,78,78,125,47,62,78,78,140,78,125,63,125,63,125,83,47,110,125,47,63,62,78,78,47,62,78,1
126,31,125,94,78,78,31,109,31,172,156,46,125,94,16,93,109,63,0,93,453,79,31,94,78,78,78,1
125,46,125,172,16,109,0,125,15,110,156,94,47,31,63,31,94,62,93,110,78,110,62,47,94,157,109,1
141,0,62,109,110,93,32,109,31,172,157,78,15,94,78,94,94,109,0,93,453,79,109,0,110,78,78,1
62,78,110,62,78,78,16,63,78,62,94,47,94,78,31,94,93,31,32,62,110,78,31,79,46,78,63,1
94,0,78,156,16,47,31,78,61,78,188,62,141,63,62,31,47,78,78,78,63,15,31,31,94,78,78,1
94,47,31,110,94,94,62,63,78,79,78,94,31,94,47,78,109,141,32,62,110,78,78,47,78,78,63,1
125,16,94,109,78,78,63,93,188,78,94,62,156,110,31,78,109,125,78,63,62,110,125,125,125,78,125,1
156,16,62,63,78,109,31,78,0,0,109,94,313,156,31,125,78,125,78,47,63,235,125,0,94,62,125,1
109,31,125,110,78,78,47,93,188,0,94,62,78,156,16,94,78,125,78,63,62,110,125,31,109,78,125,1
125,16,109,15,125,125,0,47,109,203,62,78,47,31,63,31,47,31,16,62,94,47,156,110,62,78,62,1
47,78,16,62,63,31,109,344,94,1469,31,78,63,0,62,156,125,31,78,78,78,16,31,125,15,63,94,1
16,79,31,47,62,31,78,47,109,141,125,0,47,125,719,109,78,78,16,62,94,47,94,0,62,78,62,1
141,62,110,250,94,94,62,78,203,78,88,282,109,78,344,407,78,78,234,79,93,109,78,391,109,78,94,1
109,63,93,93,94,109,94,62,157,62,78,63,172,78,172,78,109,78,281,63,93,110,78,516,78,94,93,1
110,0,78,110,78,407,15,78,203,1109,250,93,157,94,203,78,78,213,234,79,93,109,93,235,78,78,94,1
156,47,47,62,140,140,32,78,79,110,110,47,15,78,16,110,94,78,63,78,79,63,48,5,84,46,78,1
15,63,31,79,46,93,32,15,94,141,94,188,31,16,78,48,46,93,31,78,63,31,16,94,0,16,16,1
63,15,16,328,32,110,15,78,79,438,31,32,47,625,32,79,93,31,63,78,79,63,16,110,15,46,78,1
156,16,125,109,109,109,32,187,109,157,94,203,125,110,94,93,218,111,94,109,63,171,110,93,161,141,94,1
125,110,109,16,94,94,125,78,141,172,172,93,500,125,125,110,297,109,93,110,62,78,531,140,516,125,93,1
250,110,531,16,125,93,63,187,109,94,110,78,125,141,140,78,110,47,94,109,63,171,93,110,109,141,94,1
125,93,125,94,94,94,93,94,125,125,125,109,141,109,63,93,78,93,94,62,94,93,94,47,109,109,79,1
141,78,125,125,94,94,78,94,47,109,171,94,140,110,140,94,109,94,47,93,78,453,94,31,125,109,94,1
109,16,94,31,78,93,63,94,125,125,141,140,94,125,110,78,110,187,94,62,94,93,94,78,141,109,79,1
78,63,109,78,63,63,62,78,125,94,98,94,109,78,109,63,94,78,93,63,78,63,63,94,78,110,94,1
109,32,62,109,47,62,47,94,31,94,78,62,125,110,15,63,94,78,78,109,47,109,63,16,93,78,63,1
78,78,63,110,62,63,15,78,125,110,78,109,63,93,0,63,94,125,93,63,78,63,63,31,94,110,94,1
93,47,110,93,171,171,16,94,47,156,140,15,94,94,31,109,141,125,15,141,94,114,78,109,16,125,109,1
94,16,109,140,63,110,47,125,0,110,187,109,47,62,109,78,94,78,62,110,93,110,62,140,16,78,125,1
250,0,62,63,125,109,32,94,47,125,140,125,0,141,15,94,94,110,15,141,94,114,125,0,109,125,109,1
125,15,78,94,78,78,31,78,16,141,125,79,78,78,63,78,140,63,47,47,63,16,0,110,15,110,156,1
78,15,94,109,16,125,16,78,78,0,125,62,110,78,78,0,172,63,78,109,63,187,94,15,94,94,78,1
78,31,94,93,110,78,31,78,16,187,94,0,47,140,63,62,78,31,47,47,63,16,78,141,78,110,156,1
93,47,94,141,109,109,203,297,16,203,137,63,172,125,16,94,78,94,157,62,125,78,94,109,125,109,110,1
172,16,78,0,125,94,31,93,32,156,137,78,94,109,0,94,94,125,110,93,79,109,15,78,0,78,78,1
62,110,15,219,62,94,16,297,16,0,140,125,16,47,16,172,78,375,157,62,125,78,78,15,141,109,110,1
94,78,125,94,109,109,141,110,109,203,109,390,500,125,47,110,110,78,156,78,125,93,78,94,78,94,78,1
500,15,156,16,93,109,485,125,47,0,109,63,609,46,109,78,110,78,79,62,94,172,79,78,78,78,94,1
93,375,79,109,63,110,78,110,109,0,125,78,141,141,31,110,78,94,156,78,125,93,94,484,203,94,78,1
156,47,78,63,141,141,47,109,31,78,31,62,78,15,47,31,78,32,94,16,62,63,31,78,0,0,16,1
78,156,32,125,47,47,63,31,156,531,31,79,172,47,79,31,31,63,31,94,62,31,32,78,31,31,0,1
78,156,32,47,62,31,63,109,31,671,31,109,0,78,32,93,16,47,94,16,62,63,0,79,78,0,16,1
110,15,109,63,141,141,15,110,31,125,125,31,47,63,125,203,203,93,125,47,93,63,46,109,16,15,47,1
47,31,109,547,125,94,15,16,110,0,125,63,78,0,16,46,16,62,47,93,79,156,0,94,15,0,93,1
32,62,0,63,47,203,16,110,31,657,15,47,125,250,78,453,94,1000,125,47,93,63,93,63,219,15,47,1
94,62,62,125,63,63,31,63,172,78,78,141,78,78,79,62,63,47,40,60,106,62,63,94,62,78,62,1
78,47,62,125,46,63,297,79,62,78,47,67,91,94,93,63,78,47,47,78,31,13,63,78,62,62,62,1
63,62,63,126,46,62,47,63,172,62,78,86,115,78,140,63,74,101,40,60,106,62,62,141,235,78,62,1
78,78,110,78,109,109,297,109,79,109,78,125,78,47,234,78,110,62,141,62,109,63,32,78,109,63,62,2
78,47,78,47,94,93,203,125,63,0,141,47,203,94,109,32,78,63,78,78,63,94,78,265,110,78,78,2
78,16,78,31,125,78,172,109,79,0,94,251,62,125,109,109,63,125,141,62,109,63,78,219,78,63,62,2
375,16,78,94,62,62,94,94,156,250,141,125,94,109,62,94,109,141,156,63,62,78,156,63,109,93,110,2
