@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,6,7,9,10,11,12,14,16,21,24,25,26,27,28,34,37,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute ft3 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,156,32,125,63,531,31,79,172,47,79,31,47,94,62,94,0,62,109,31,78,31,62,0,3485,1
78,156,32,47,63,671,31,109,0,78,32,16,0,16,62,47,125,47,47,63,79,0,78,16,4676,1
110,15,109,63,15,125,125,31,47,63,125,203,32,47,93,47,141,31,16,63,109,15,93,47,4046,1
47,31,109,547,15,0,125,63,78,0,16,16,47,93,79,0,93,47,78,156,94,0,63,93,4154,1
32,62,0,63,16,657,15,47,125,250,78,94,78,47,93,47,141,31,16,63,63,15,93,47,6861,1
94,62,62,125,31,78,78,141,78,78,79,63,203,60,106,47,125,63,94,62,94,78,79,62,3348,1
78,47,62,125,297,78,47,67,91,94,93,78,125,78,31,78,109,63,176,13,78,62,141,62,3587,1
63,62,63,126,47,62,78,86,115,78,140,74,67,60,106,47,125,63,94,62,141,78,79,62,3553,1
78,78,110,78,297,109,78,125,78,47,234,110,156,62,109,140,16,62,203,63,78,63,16,62,3921,2
78,47,78,47,203,0,141,47,203,94,109,78,187,78,63,109,16,78,63,94,265,78,16,78,3845,2
78,16,78,31,172,0,94,251,62,125,109,63,78,62,109,140,16,62,203,63,219,63,16,62,4874,2
375,16,78,94,94,250,141,125,94,109,62,109,78,63,62,94,62,94,47,78,63,93,47,110,4562,2
94,31,78,31,62,0,141,94,16,47,125,78,125,62,63,79,78,62,62,266,78,110,31,78,3488,2
171,63,16,63,47,62,94,46,172,63,15,109,78,63,62,94,62,94,47,78,110,93,47,110,5671,2
109,47,172,31,16,250,47,15,63,62,47,47,31,62,78,32,141,31,78,16,78,63,31,78,3049,2
63,15,109,62,31,0,47,172,47,47,125,94,31,63,78,31,94,31,63,125,78,63,31,110,3707,2
32,93,16,188,16,906,47,31,141,94,203,91,875,62,78,32,141,31,78,16,15,63,31,78,8140,2
62,16,109,16,32,109,63,140,47,62,32,62,110,188,359,218,47,16,47,62,78,47,46,63,3000,2
47,359,94,15,15,0,94,78,47,31,47,62,94,63,94,94,15,62,156,16,78,63,47,47,2969,2
63,78,16,203,15,0,94,32,79,125,78,62,78,188,359,218,47,16,47,62,15,47,46,63,4467,2
172,437,94,94,94,140,62,141,219,93,16,94,110,63,109,62,94,62,94,109,78,78,78,62,4296,2
219,15,94,16,62,0,62,62,110,31,109,94,203,78,63,94,109,62,78,78,78,78,63,78,3310,2
140,110,16,31,47,109,78,78,94,109,16,62,79,63,109,62,94,62,94,109,94,78,78,62,4249,2
