dtfk1,ft1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,dtsk6,ft7,ft8,dtfk10,ft10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,dtsk14,gender
109,47,78,78,94,94,141,250,47,47,94,63,47,31,63,62,78,32,16,78,16,63,78,2
63,15,109,94,94,78,172,16,47,47,78,47,125,31,15,63,78,31,968,63,125,63,110,2
32,93,62,62,78,94,141,250,1000,47,78,141,203,875,63,62,78,32,16,78,16,63,78,2
62,16,62,62,78,78,31,109,31,63,32,47,32,110,16,188,359,218,16,47,62,47,63,2
47,359,47,63,32,62,16,47,15,94,359,47,47,94,62,63,94,94,94,156,16,63,47,2
63,78,16,78,79,78,31,109,31,94,59,79,78,78,16,188,359,218,16,47,62,47,63,2
172,437,78,78,94,94,31,140,31,62,94,219,16,110,125,63,109,62,78,94,109,78,62,2
219,15,78,94,94,94,62,78,16,62,109,110,109,203,78,78,63,94,109,78,78,78,78,2
140,110,63,94,78,94,31,140,16,78,63,94,16,79,125,63,109,62,78,94,109,78,62,2
57,4369,69,69,90,90,63,80,442,110,65,192,36,96,47,78,78,69,63,78,109,33,61,2
192,4,72,98,65,78,31,78,411,65,78,187,24,94,58,68,150,78,141,62,141,78,78,2
74,6,79,79,104,90,63,80,185,103,109,172,73,94,47,78,78,69,63,78,109,33,61,2
110,156,94,94,109,109,63,172,47,109,63,94,78,156,110,250,78,156,78,47,125,78,125,2
94,15,78,78,63,156,16,78,31,109,78,62,94,109,78,78,63,110,109,94,62,109,125,2
187,78,94,78,78,109,63,172,15,109,47,141,172,125,110,250,78,156,78,47,125,78,125,2
93,32,63,63,93,93,32,187,0,78,93,125,31,94,16,94,78,94,63,15,78,109,93,2
125,32,32,94,93,62,16,62,31,78,78,78,117,47,47,47,63,94,109,172,15,63,125,2
78,78,78,78,93,93,32,187,47,63,16,94,15,47,16,94,78,94,63,15,78,109,93,2
62,141,63,63,78,78,219,62,31,47,46,62,109,109,547,63,1015,79,63,203,62,47,78,2
62,78,47,47,46,62,63,78,94,78,1015,125,125,109,31,828,62,93,188,62,485,63,63,2
31,109,78,47,62,78,219,62,78,109,79,125,219,94,547,63,1015,79,63,203,62,47,78,2
109,125,78,78,125,125,63,109,47,125,78,94,0,78,63,78,109,78,94,47,78,79,78,2
94,16,78,78,78,94,31,110,78,187,109,46,62,78,78,78,78,109,94,94,62,78,94,2
125,0,94,94,94,125,63,109,78,110,78,63,31,93,63,78,109,78,94,47,78,79,78,2
93,47,110,110,94,94,31,79,31,140,47,94,16,78,31,62,79,125,110,15,94,94,78,2
94,16,125,62,47,78,32,78,59,124,79,125,94,62,63,78,93,79,78,78,0,93,62,2
79,31,344,46,62,94,31,79,31,125,62,62,16,78,31,62,79,125,110,15,94,94,78,2
94,31,79,79,79,79,15,140,47,90,78,94,0,93,47,63,78,94,78,0,78,94,78,2
94,0,94,62,78,78,32,94,16,93,78,31,140,63,63,78,78,78,94,78,31,62,94,2
62,16,63,62,78,79,15,140,63,125,0,31,31,78,47,63,78,94,78,0,78,94,78,2
63,343,46,46,47,47,62,78,125,79,47,63,16,156,94,62,156,63,110,234,31,62,47,2
63,0,47,47,47,93,47,63,62,141,156,141,62,125,32,125,47,62,140,63,94,47,62,2
203,47,16,62,47,47,62,78,46,110,78,156,16,63,94,62,156,63,110,234,31,62,47,2
140,31,109,109,94,94,62,172,15,100,78,125,46,109,78,47,62,141,110,109,94,94,62,2
125,32,78,94,78,93,32,78,46,110,62,62,141,109,47,94,46,109,110,78,47,78,79,2
31,109,94,63,94,94,62,172,94,125,141,78,15,94,78,47,62,141,110,109,94,94,62,2
63,78,62,62,62,62,63,78,62,79,62,78,78,94,109,62,94,78,63,78,62,63,62,2
78,62,63,62,62,63,78,63,125,62,94,15,125,125,62,78,63,78,79,93,78,78,63,2
94,78,63,62,78,62,63,78,125,63,0,94,78,843,109,62,94,78,63,78,62,63,62,2
109,47,31,31,78,78,47,125,47,47,110,47,16,16,15,78,78,47,16,110,62,78,31,2
47,16,78,78,110,16,93,32,500,47,78,0,47,63,31,63,78,31,78,109,62,16,16,2
94,156,47,78,110,78,47,125,47,62,78,110,78,0,15,78,78,47,16,110,62,78,31,2
94,32,78,78,62,62,157,78,172,62,63,94,78,109,141,62,79,79,78,63,93,62,79,2
94,16,62,78,63,93,0,94,157,78,79,93,141,93,94,78,78,78,141,78,94,78,94,2
110,78,63,93,78,62,157,78,156,94,62,15,63,78,141,62,79,79,78,63,93,62,79,2
94,109,63,63,63,63,94,78,187,63,63,94,62,109,156,63,109,78,78,188,78,47,63,2
94,47,62,78,63,62,63,62,62,78,109,172,94,125,63,78,78,63,156,62,125,63,47,2
63,62,47,47,63,63,94,78,140,47,63,110,47,78,156,63,109,78,78,188,78,47,63,2
78,47,125,125,156,156,0,78,78,180,78,94,16,47,78,94,62,31,46,93,0,78,63,2
94,15,94,125,78,15,78,47,47,187,62,219,47,63,94,62,63,15,1390,63,141,93,63,2
47,47,0,78,94,156,0,78,15,172,94,110,94,1312,78,94,62,31,46,93,0,78,63,2
62,79,94,94,78,78,62,109,31,125,63,78,141,125,63,78,94,141,15,93,32,78,93,2
78,125,16,94,63,47,78,31,31,125,94,109,78,15,94,94,46,63,0,125,500,63,78,2
78,31,94,31,156,78,62,109,0,94,0,120,47,109,63,78,94,141,15,93,32,78,93,2
