@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,20,21,22,23,24,27,30,33,34,36,42,43'

@attribute dtfk4 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
93,47,125,63,562,110,16,94,94,78,15,20,88,78,109,16,2
62,78,78,47,94,78,47,47,94,31,172,32,32,421,63,46,2
93,94,94,63,719,94,16,94,94,78,15,125,15,125,109,16,2
78,157,62,63,78,109,547,63,79,125,203,62,188,46,47,47,2
62,78,125,79,125,94,31,828,93,110,62,47,172,63,63,62,2
78,62,125,94,79,171,547,63,79,125,203,63,125,78,47,47,2
125,109,94,94,109,47,63,78,78,93,47,47,78,63,79,31,2
94,79,46,16,63,93,78,78,109,110,94,78,78,94,78,31,2
125,78,63,94,843,984,63,78,78,93,47,94,31,141,79,31,2
94,109,94,78,172,78,31,62,125,62,15,31,78,16,94,16,2
78,62,125,62,62,94,63,78,79,93,78,62,32,93,93,32,2
94,16,62,78,609,94,31,62,125,62,15,62,32,78,94,16,2
79,62,94,109,94,46,47,63,94,94,0,16,78,0,94,16,2
78,172,31,31,31,125,63,78,78,94,78,78,15,79,62,16,2
79,63,31,62,781,94,47,63,94,94,0,94,15,110,94,16,2
47,156,63,62,62,157,94,62,63,109,234,47,78,110,62,31,2
93,47,141,110,156,63,32,125,62,125,63,16,78,47,47,47,2
47,47,156,62,922,62,94,62,63,109,234,62,47,63,62,31,2
94,62,125,94,94,16,78,47,141,62,109,16,93,32,94,47,2
93,141,62,16,78,62,47,94,109,31,78,16,78,47,78,62,2
94,0,78,79,828,968,78,47,141,62,109,79,46,94,94,47,2
62,94,78,63,62,63,109,62,78,93,78,47,31,78,63,47,2
63,188,15,78,94,157,62,78,78,94,93,78,47,62,78,62,2
62,93,94,62,62,63,109,62,78,93,78,63,31,125,63,47,2
78,62,47,93,594,78,15,78,47,63,110,16,47,94,78,0,2
16,94,0,609,110,31,31,63,31,62,109,0,94,16,16,94,2
78,31,110,31,0,547,15,78,47,63,110,16,93,78,78,0,2
62,93,94,79,125,141,141,62,79,78,63,94,15,94,62,31,2
93,78,93,125,15,125,94,78,78,110,78,78,47,78,78,94,2
62,172,15,140,0,32,141,62,79,78,63,94,156,94,62,31,2
63,140,94,63,93,47,156,63,78,94,188,78,78,78,47,78,2
62,63,172,62,110,78,63,78,63,109,62,63,78,62,63,62,2
63,62,110,63,110,94,156,63,78,94,188,47,47,94,47,78,2
156,109,94,63,0,16,78,94,31,109,93,31,94,47,78,31,2
15,94,219,62,110,20,94,62,15,125,63,16,94,94,93,0,2
156,15,110,125,984,1094,78,94,31,109,93,63,31,156,78,31,2
78,125,78,94,94,93,63,78,141,0,93,31,78,63,78,32,2
47,78,109,78,120,94,94,94,63,172,125,78,78,94,63,93,2
78,187,120,78,735,78,63,78,141,0,93,78,94,78,78,32,2
