@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,12,13,14,16,17,18,20,21,22,23,24,27,28,30,33,34,35,37,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
62,16,109,62,78,78,31,63,62,0,47,188,218,47,62,78,46,63,2
47,359,63,63,32,62,16,94,31,79,93,63,94,15,16,78,47,47,2
63,78,110,78,79,78,31,94,125,703,766,188,218,47,62,15,46,63,2
172,437,94,78,94,94,31,62,93,94,125,63,62,94,109,78,78,62,2
219,15,125,94,94,94,62,62,31,94,46,78,94,109,78,78,63,78,2
140,110,219,94,78,94,31,78,109,937,63,63,62,94,109,94,78,62,2
57,4369,113,69,90,90,63,110,89,78,297,78,69,111,109,37,69,61,2
192,4,68,98,65,78,31,65,89,172,94,68,78,94,141,13,63,78,2
74,6,39,79,104,90,63,103,11,74,258,78,69,111,109,15,69,61,2
110,156,125,94,109,109,63,109,79,78,109,250,156,63,125,63,78,125,2
94,15,78,78,63,156,16,109,109,141,78,78,110,47,62,94,172,125,2
187,78,110,78,78,109,63,109,93,828,94,250,156,63,125,266,78,125,2
93,32,125,63,93,93,32,78,63,562,110,94,94,78,78,88,16,93,2
125,32,47,94,93,62,16,78,47,94,78,47,94,31,15,32,46,125,2
78,78,125,78,93,93,32,63,63,719,94,94,94,78,78,15,16,93,2
62,141,78,63,78,78,219,47,63,78,109,63,79,125,62,188,47,78,2
62,78,62,47,46,62,63,78,79,125,94,828,93,110,485,172,62,63,2
31,109,47,47,62,78,219,109,94,79,171,63,79,125,62,125,47,78,2
109,125,109,78,125,125,63,125,94,109,47,78,78,93,78,78,31,78,2
94,16,156,78,78,94,31,187,16,63,93,78,109,110,62,78,31,94,2
125,0,94,94,94,125,63,110,94,843,984,78,78,93,78,31,31,78,2
93,47,125,110,94,94,31,140,78,172,78,62,125,62,94,78,16,78,2
94,16,125,62,47,78,32,124,62,62,94,78,79,93,0,32,32,62,2
79,31,31,46,62,94,31,125,78,609,94,62,125,62,94,32,16,78,2
94,31,78,79,79,79,15,90,109,94,46,63,94,94,78,78,16,78,2
94,0,16,62,78,78,32,93,31,31,125,78,78,94,31,15,16,94,2
62,16,78,62,78,79,15,125,62,781,94,63,94,94,78,15,16,78,2
63,343,63,46,47,47,62,79,62,62,157,62,63,109,31,78,31,47,2
63,0,125,47,47,93,47,141,110,156,63,125,62,125,94,78,47,62,2
203,47,63,62,47,47,62,110,62,922,62,62,63,109,31,47,31,47,2
