@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,14,16,17,18,21,22,23,24,26,27,30,33,34,35,36,37,39,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
141,78,125,94,94,47,109,109,171,110,140,94,47,93,156,47,31,94,1
109,16,156,93,109,125,125,125,141,125,110,125,94,62,125,94,78,62,1
78,63,109,63,78,125,94,94,98,78,109,78,93,63,78,110,94,62,1
109,32,78,62,78,31,78,94,78,110,15,63,78,109,94,93,16,109,1
78,78,109,63,94,125,94,110,78,93,0,93,93,63,78,110,31,62,1
93,47,110,171,94,47,156,156,140,94,31,110,15,141,250,31,109,0,1
94,16,0,110,172,0,63,110,187,62,109,0,62,110,125,93,140,0,1
250,0,312,109,78,47,156,125,140,141,15,860,15,141,250,31,0,0,1
125,15,78,78,78,16,141,141,125,78,63,109,47,47,62,140,110,62,1
78,15,32,125,78,78,63,0,125,78,78,47,78,109,78,93,15,31,1
78,31,79,78,94,16,141,187,94,140,63,937,47,47,62,140,141,62,1
93,47,94,109,297,16,203,203,137,125,16,94,157,62,94,78,109,31,1
172,16,219,94,78,32,78,156,137,109,0,16,110,93,109,63,78,15,1
62,110,63,94,125,16,203,0,140,47,16,110,157,62,94,78,15,31,1
94,78,125,109,110,109,203,203,109,125,47,94,156,78,109,63,94,47,1
500,15,141,109,78,47,62,0,109,46,109,141,79,62,78,110,78,31,1
93,375,94,110,93,109,203,0,125,141,31,1020,156,78,109,63,484,47,1
156,47,78,141,109,31,78,78,31,15,47,687,94,16,47,125,78,78,1
78,156,15,47,47,156,16,531,31,47,79,0,31,94,94,0,78,62,1
78,156,62,31,47,31,78,671,31,78,32,797,94,16,47,125,79,78,1
110,15,109,141,110,31,125,125,125,63,125,610,125,47,47,141,109,93,1
47,31,62,94,125,110,94,0,125,0,16,125,47,93,0,93,94,63,1
32,62,15,203,16,31,125,657,15,250,78,656,125,47,47,141,63,93,1
