ft1,dtsk1,ft4,dtsk4,dtfk5,dtsk5,ft6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft14,dtsk14,gender
0,78,47,63,125,141,47,110,62,47,78,125,47,62,125,140,63,16,47,62,2
47,16,62,78,79,110,47,62,16,62,47,63,156,63,109,110,234,62,31,47,2
31,141,62,172,172,100,62,94,46,63,94,109,62,141,62,110,109,16,47,62,2
32,110,32,78,94,110,141,16,141,16,94,109,46,109,31,110,78,16,62,79,2
109,16,62,172,78,125,0,79,15,94,516,94,62,141,62,110,109,79,47,62,2
78,78,63,78,78,79,94,63,78,62,78,94,94,78,93,63,78,47,47,62,2
62,79,78,63,63,62,188,78,125,47,63,125,63,78,94,79,93,78,62,63,2
78,78,63,78,47,63,93,62,78,63,78,843,94,78,93,63,78,63,47,62,2
47,63,47,125,125,47,62,93,16,78,78,16,78,47,63,16,110,16,0,31,2
16,78,93,32,484,47,94,609,47,16,16,63,78,31,62,78,109,0,94,16,2
156,0,47,125,0,62,31,31,78,94,78,0,78,47,63,16,110,16,0,31,2
32,109,157,78,78,62,93,79,78,93,94,109,79,79,78,78,63,94,31,79,2
16,93,0,94,109,78,78,125,141,94,110,93,78,78,110,141,78,78,94,94,2
78,78,157,78,47,94,172,140,63,78,79,78,79,79,78,78,63,94,31,79,2
109,62,94,78,78,63,140,63,62,47,63,109,109,78,94,78,188,78,78,63,2
47,63,63,62,63,78,63,62,94,78,78,125,78,63,109,156,62,63,62,47,2
62,63,94,78,63,47,62,63,47,78,62,78,109,78,94,78,188,47,78,63,2
47,157,0,78,78,180,109,63,16,78,266,47,62,31,109,46,93,31,31,63,2
15,94,78,47,141,187,94,62,47,31,156,63,63,15,125,1390,63,16,0,63,2
47,16,0,78,0,172,15,125,94,94,31,1312,62,31,109,46,93,63,31,63,2
79,109,62,109,109,125,125,94,141,31,110,125,94,141,0,15,93,31,32,93,2
125,93,78,31,110,125,78,78,78,31,156,15,46,63,172,0,125,78,93,78,2
31,78,62,109,0,94,187,78,47,109,63,109,94,141,0,15,93,78,32,93,2
