ft1,dtsk1,ft2,ft3,dtfk4,dtsk4,dtfk5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft8,dtsk8,dtsk9,ft10,dtsk10,dtfk12,dtsk12,dtfk13,dtsk13,gender
109,16,31,78,94,172,78,125,141,0,78,79,94,110,16,47,62,110,94,79,94,2
78,78,94,63,62,78,78,79,62,94,78,63,94,62,124,62,94,63,62,47,78,2
62,79,109,63,63,63,63,62,94,188,15,78,125,62,62,78,63,79,78,78,62,2
78,78,109,47,62,78,47,63,0,93,94,62,843,79,78,62,94,63,62,63,125,2
47,63,47,16,78,125,125,47,110,62,47,93,16,78,94,78,78,16,62,16,94,2
16,78,78,16,16,32,484,47,78,94,0,609,63,31,93,63,78,78,62,0,16,2
156,0,78,0,78,125,0,62,78,31,110,31,0,78,609,78,78,16,62,16,78,2
32,109,703,94,62,78,78,62,63,93,94,79,109,63,266,62,79,78,93,94,94,2
16,93,110,141,93,94,109,78,79,78,93,125,93,94,47,78,78,141,94,78,78,2
78,78,125,79,62,78,47,94,62,172,15,140,78,141,125,62,79,78,93,94,94,2
109,62,141,93,63,78,78,63,63,140,94,63,109,63,110,63,109,78,78,78,78,2
47,63,125,78,62,62,63,78,109,63,172,62,125,63,109,78,78,156,125,63,62,2
62,63,125,109,63,78,63,47,63,62,110,63,78,156,62,63,109,78,78,47,94,2
47,157,62,46,156,78,78,180,78,109,94,63,47,62,141,94,62,46,0,31,47,2
15,94,47,110,15,47,141,187,62,94,219,62,63,70,165,62,63,1390,141,16,94,2
47,16,94,15,156,78,0,172,94,15,110,125,1312,1390,62,94,62,46,0,63,156,2
79,109,78,94,78,109,109,125,63,125,78,94,125,109,94,78,94,15,32,31,63,2
125,93,109,109,47,31,110,125,94,78,109,78,15,111,62,94,46,0,500,78,94,2
31,78,46,78,78,109,0,94,0,187,120,78,109,0,78,78,94,15,32,78,78,2
