dtfk1,dtsk1,ft2,ft3,dtfk4,ft4,ft5,dtfk6,ft6,dtfk7,ft7,dtfk8,dtfk9,dtfk10,ft10,dtfk11,dtfk12,ft12,dtfk13,dtfk14,sum,gender
93,125,47,93,94,31,31,47,109,78,16,110,172,31,62,125,110,15,31,94,3298,2
94,62,62,47,78,32,59,79,62,62,94,94,62,63,78,79,78,78,62,93,3122,2
79,62,156,110,94,31,31,62,16,78,16,78,609,31,62,125,110,15,62,94,3749,2
94,78,125,46,79,15,47,78,62,109,0,110,94,47,63,94,78,0,16,94,2996,2
94,63,62,579,78,32,16,78,172,31,140,78,31,63,78,78,94,78,78,62,3220,2
62,78,94,32,79,15,63,0,63,62,31,109,781,47,63,94,78,0,94,94,3423,2
63,63,219,188,47,62,125,47,156,62,16,156,62,94,62,63,110,234,47,62,3952,2
63,78,47,94,93,47,62,156,47,110,62,78,156,32,125,62,140,63,16,47,3300,2
203,16,203,94,47,62,46,78,47,62,16,47,922,94,62,63,110,234,62,62,4171,2
140,141,31,47,94,62,15,78,62,94,46,94,94,78,47,141,110,109,16,94,3582,2
125,110,16,31,93,32,46,62,141,16,141,94,78,47,94,109,110,78,16,78,3159,2
31,16,31,78,94,62,94,141,0,79,15,516,828,78,47,141,110,109,79,94,5580,2
63,78,94,63,62,63,62,62,94,63,78,78,62,109,62,78,63,78,47,63,3012,2
78,79,109,63,63,78,125,94,188,78,125,63,94,62,78,78,79,93,78,78,3267,2
94,78,109,47,62,63,125,0,93,62,78,78,62,109,62,78,63,78,63,63,3780,2
109,63,47,16,78,47,47,110,62,93,16,78,594,15,78,47,16,110,16,78,3142,2
47,78,78,16,16,93,500,78,94,609,47,16,110,31,63,31,78,109,0,16,3721,2
94,0,78,0,78,47,47,78,31,31,78,78,0,15,78,47,16,110,16,78,3562,2
94,109,703,94,62,157,172,63,93,79,78,94,125,141,62,79,78,63,94,62,4392,2
94,93,110,141,93,0,157,79,78,125,141,110,15,94,78,78,141,78,78,78,3658,2
110,78,125,79,62,157,156,62,172,140,63,79,0,141,62,79,78,63,94,62,3643,2
94,62,141,93,63,94,187,63,140,63,62,63,93,156,63,78,78,188,78,47,3596,2
94,63,125,78,62,63,62,109,63,62,94,78,110,63,78,63,156,62,63,63,3406,2
63,63,125,109,63,94,140,63,62,63,47,62,110,156,63,78,78,188,47,47,3410,2
78,157,62,46,156,0,78,78,109,63,16,266,0,78,94,31,46,93,31,78,3397,2
94,94,47,110,15,78,47,62,94,62,47,156,110,94,62,15,1390,63,16,93,4740,2
47,16,94,15,156,0,15,94,15,125,94,31,984,78,94,31,46,93,63,78,7215,2
62,109,78,94,78,62,31,63,125,94,141,110,94,63,78,141,15,93,31,78,3421,2
78,93,109,109,47,78,31,94,78,78,78,156,120,94,94,63,0,125,78,63,3729,2
78,78,46,78,78,62,0,0,187,78,47,63,735,63,78,141,15,93,78,78,3667,2
