ft1,dtsk2,ft3,dtsk3,dtfk4,ft4,ft5,ft6,dtsk6,dtfk8,ft8,dtfk10,ft10,dtsk10,dtsk11,ft12,dtfk13,dtsk13,ft14,sum,gender
0,47,94,47,93,47,62,47,141,78,125,32,125,47,63,63,16,47,47,3300,2
47,16,94,47,47,62,46,47,156,47,63,94,62,156,62,234,62,63,31,4171,2
31,109,47,94,94,62,15,62,125,94,109,78,47,62,125,109,16,32,47,3582,2
32,78,31,78,93,32,46,141,62,94,109,47,94,46,110,78,16,47,62,3159,2
109,94,78,94,94,62,94,0,78,516,94,78,47,62,125,109,79,94,47,5580,2
78,62,63,62,62,63,62,94,78,78,94,109,62,94,63,78,47,78,47,3012,2
62,63,63,62,63,78,125,188,15,63,125,62,78,63,63,93,78,62,62,3267,2
78,63,47,78,62,63,125,93,94,78,843,109,62,94,63,78,63,125,47,3780,2
47,31,16,78,78,47,47,62,47,78,16,15,78,78,109,110,16,94,0,3142,2
16,78,16,110,16,93,500,94,0,16,63,31,63,78,79,109,0,16,94,3721,2
156,47,0,110,78,47,47,31,110,78,0,15,78,78,109,110,16,78,0,3562,2
32,78,94,62,62,157,172,93,94,94,109,141,62,79,78,63,94,94,31,4392,2
16,62,141,63,93,0,157,78,93,110,93,94,78,78,78,78,78,78,94,3658,2
78,63,79,78,62,157,156,172,15,79,78,141,62,79,78,63,94,94,31,3643,2
109,63,93,63,63,94,187,140,94,63,109,156,63,109,63,188,78,78,78,3596,2
47,62,78,63,62,63,62,63,172,78,125,63,78,78,78,62,63,62,62,3406,2
62,47,109,63,63,94,140,62,110,62,78,156,63,109,63,188,47,94,78,3410,2
47,125,46,156,156,0,78,109,94,266,47,78,94,62,47,93,31,47,31,3397,2
15,94,110,78,15,78,47,94,219,156,63,94,62,63,46,63,16,94,0,4740,2
47,0,15,94,156,0,15,15,110,31,1312,78,94,62,47,93,63,156,31,7215,2
79,94,94,78,78,62,31,125,78,110,125,63,78,94,62,93,31,63,32,3421,2
125,16,109,63,47,78,31,78,109,156,15,94,94,46,16,125,78,94,93,3729,2
31,94,78,156,78,62,0,187,120,63,109,63,78,94,62,93,78,78,32,3667,2
