ft1,dtfk3,dtfk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtsk8,ft9,dtfk10,dtsk10,dtfk11,dtsk11,ft12,dtfk14,ft14,dtsk14,gender
16,62,78,98,59,124,79,62,62,94,31,94,94,63,93,79,140,78,93,32,62,2
31,46,94,94,31,125,62,16,78,16,94,78,94,31,79,125,109,15,94,16,78,2
31,79,79,140,47,90,78,62,109,0,62,47,46,47,78,94,47,0,94,16,78,2
0,62,78,0,16,93,78,172,31,140,16,78,125,63,78,78,78,78,62,16,94,2
16,62,79,0,63,125,0,63,62,31,78,94,94,47,78,94,47,0,94,16,78,2
343,46,47,78,125,79,47,156,62,16,62,94,157,94,156,63,62,234,62,31,47,2
0,47,93,125,62,141,156,47,110,62,47,63,63,32,47,62,63,63,47,47,62,2
47,62,47,79,46,110,78,47,62,16,62,140,62,94,156,63,62,234,62,31,47,2
31,109,94,172,15,100,78,62,94,46,63,78,16,78,62,141,125,109,94,47,62,2
32,94,93,94,46,110,62,141,16,141,16,63,62,47,46,109,110,78,78,62,79,2
109,63,94,78,94,125,141,0,79,15,94,110,968,78,62,141,125,109,94,47,62,2
78,62,62,78,62,79,62,94,63,78,62,62,63,109,94,78,63,78,63,47,62,2
62,62,63,63,125,62,94,188,78,125,47,62,157,62,63,78,63,93,78,62,63,2
78,62,62,47,125,63,0,93,62,78,63,79,63,109,94,78,63,78,63,47,62,2
47,31,78,125,47,47,110,62,93,16,78,78,78,15,78,47,109,110,78,0,31,2
16,78,16,484,500,47,78,94,609,47,16,31,31,31,78,31,79,109,16,94,16,2
156,78,78,0,47,62,78,31,31,78,94,78,547,15,78,47,109,110,78,0,31,2
32,78,62,78,172,62,63,93,79,78,93,63,141,141,79,79,78,63,62,31,79,2
16,78,93,109,157,78,79,78,125,141,94,94,125,94,78,78,78,78,78,94,94,2
78,93,62,47,156,94,62,172,140,63,78,141,32,141,79,79,78,63,62,31,79,2
109,63,63,78,187,63,63,140,63,62,47,63,47,156,109,78,63,188,47,78,63,2
47,78,62,63,62,78,109,63,62,94,78,63,78,63,78,63,78,62,63,62,47,2
62,47,63,63,140,47,63,62,63,47,78,156,94,156,109,78,63,188,47,78,63,2
47,125,156,78,78,180,78,109,63,16,78,62,16,78,62,31,47,93,78,31,63,2
15,125,15,141,47,187,62,94,62,47,31,70,20,94,63,15,46,63,93,0,63,2
47,78,156,0,15,172,94,15,125,94,94,1390,1094,78,62,31,47,93,78,31,63,2
79,94,78,109,31,125,63,125,94,141,31,109,93,63,94,141,62,93,78,32,93,2
125,94,47,110,31,125,94,78,78,78,31,111,94,94,46,63,16,125,63,93,78,2
31,31,78,0,0,94,0,187,78,47,109,0,78,63,94,141,62,93,78,32,93,2
