ft1,dtsk1,dtfk3,ft3,dtfk4,ft4,dtfk5,ft5,dtsk5,ft6,dtsk6,dtfk7,ft7,dtfk8,dtsk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,sum,gender
31,62,46,110,94,31,94,31,125,16,62,78,16,78,78,609,94,31,62,79,109,110,94,62,32,78,94,16,3749,2
31,78,79,46,79,15,140,47,90,62,94,109,0,110,47,94,46,47,63,78,47,78,78,16,78,0,94,16,2996,2
0,63,62,579,78,32,0,16,93,172,31,31,140,78,78,31,125,63,78,78,78,94,31,78,15,79,62,16,3220,2
16,78,62,32,79,15,0,63,125,63,31,62,31,109,94,781,94,47,63,78,47,78,78,94,15,110,94,16,3423,2
343,63,46,188,47,62,78,125,79,156,63,62,16,156,94,62,157,94,62,156,62,110,31,47,78,110,62,31,3952,2
0,78,47,94,93,47,125,62,141,47,141,110,62,78,63,156,63,32,125,47,63,140,94,16,78,47,47,47,3300,2
47,16,62,94,47,62,79,46,110,47,156,62,16,47,140,922,62,94,62,156,62,110,31,62,47,63,62,31,4171,2
31,141,109,47,94,62,172,15,100,62,125,94,46,94,78,94,16,78,47,62,125,110,94,16,93,32,94,47,3582,2
32,110,94,31,93,32,94,46,110,141,62,16,141,94,63,78,62,47,94,46,110,110,47,16,78,47,78,62,3159,2
109,16,63,78,94,62,78,94,125,0,78,79,15,516,110,828,968,78,47,62,125,110,94,79,46,94,94,47,5580,2
78,78,62,63,62,63,78,62,79,94,78,63,78,78,62,62,63,109,62,94,63,63,62,47,31,78,63,47,3012,2
62,79,62,63,63,78,63,125,62,188,15,78,125,63,62,94,157,62,78,63,63,79,78,78,47,62,78,62,3267,2
78,78,62,47,62,63,47,125,63,93,94,62,78,78,79,62,63,109,62,94,63,63,62,63,31,125,63,47,3780,2
