dtfk1,ft1,dtsk1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft6,dtfk7,ft7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtsk11,ft12,ft13,dtsk13,dtfk14,ft14,gender
94,16,62,62,47,78,32,78,98,62,62,94,31,62,63,78,79,93,140,78,32,93,93,32,2
79,31,62,46,62,94,31,79,94,16,78,16,94,609,31,62,125,62,109,15,32,78,94,16,2
94,31,78,79,79,79,15,140,140,62,109,0,62,94,47,63,94,94,47,0,78,0,94,16,2
94,0,63,62,78,78,32,94,0,172,31,140,16,31,63,78,78,94,78,78,15,79,62,16,2
62,16,78,62,78,79,15,140,0,63,62,31,78,781,47,63,94,94,47,0,15,110,94,16,2
63,343,63,46,47,47,62,78,78,156,62,16,62,62,94,62,63,109,62,234,78,110,62,31,2
63,0,78,47,47,93,47,63,125,47,110,62,47,156,32,125,62,125,63,63,78,47,47,47,2
203,47,16,62,47,47,62,78,79,47,62,16,62,922,94,62,63,109,62,234,47,63,62,31,2
140,31,141,109,94,94,62,172,172,62,94,46,63,94,78,47,141,62,125,109,93,32,94,47,2
125,32,110,94,78,93,32,78,94,141,16,141,16,78,47,94,109,31,110,78,78,47,78,62,2
31,109,16,63,94,94,62,172,78,0,79,15,94,828,78,47,141,62,125,109,46,94,94,47,2
63,78,78,62,62,62,63,78,78,94,63,78,62,62,109,62,78,93,63,78,31,78,63,47,2
78,62,79,62,62,63,78,63,63,188,78,125,47,94,62,78,78,94,63,93,47,62,78,62,2
94,78,78,62,78,62,63,78,47,93,62,78,63,62,109,62,78,93,63,78,31,125,63,47,2
109,47,63,31,78,78,47,125,125,62,93,16,78,594,15,78,47,63,109,110,47,94,78,0,2
47,16,78,78,110,16,93,32,484,94,609,47,16,110,31,63,31,62,79,109,94,16,16,94,2
94,156,0,78,110,78,47,125,0,31,31,78,94,0,15,78,47,63,109,110,93,78,78,0,2
94,32,109,78,62,62,157,78,78,93,79,78,93,125,141,62,79,78,78,63,15,94,62,31,2
94,16,93,78,63,93,0,94,109,78,125,141,94,15,94,78,78,110,78,78,47,78,78,94,2
110,78,78,93,78,62,157,78,47,172,140,63,78,0,141,62,79,78,78,63,156,94,62,31,2
94,109,62,63,63,63,94,78,78,140,63,62,47,93,156,63,78,94,63,188,78,78,47,78,2
94,47,63,78,63,62,63,62,63,63,62,94,78,110,63,78,63,109,78,62,78,62,63,62,2
63,62,63,47,63,63,94,78,63,62,63,47,78,110,156,63,78,94,63,188,47,94,47,78,2
78,47,157,125,156,156,0,78,78,109,63,16,78,0,78,94,31,109,47,93,94,47,78,31,2
94,15,94,125,78,15,78,47,141,94,62,47,31,110,94,62,15,125,46,63,94,94,93,0,2
47,47,16,78,94,156,0,78,0,15,125,94,94,984,78,94,31,109,47,93,31,156,78,31,2
62,79,109,94,78,78,62,109,109,125,94,141,31,94,63,78,141,0,62,93,78,63,78,32,2
78,125,93,94,63,47,78,31,110,78,78,78,31,120,94,94,63,172,16,125,78,94,63,93,2
78,31,78,31,156,78,62,109,0,187,78,47,109,735,63,78,141,0,62,93,94,78,78,32,2
