dtfk3,ft3,dtsk3,ft4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk8,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
78,109,125,63,109,47,94,0,94,110,109,63,78,109,78,93,47,47,78,63,31,78,2
78,63,78,31,78,78,16,62,47,94,63,78,78,78,109,110,94,78,78,94,31,94,2
94,15,94,63,93,78,94,31,78,94,843,63,78,109,78,93,47,94,31,141,31,78,2
110,93,94,31,79,31,78,16,46,78,172,31,62,79,125,62,15,31,78,16,16,78,2
62,47,47,32,98,59,62,94,31,94,62,63,78,93,79,93,78,62,32,93,32,62,2
46,110,62,31,94,31,78,16,94,78,609,31,62,79,125,62,15,62,32,78,16,78,2
79,46,79,15,140,47,109,0,62,47,94,47,63,78,94,94,0,16,78,0,16,78,2
62,579,78,32,0,16,31,140,16,78,31,63,78,78,78,94,78,78,15,79,16,94,2
62,32,78,15,0,63,62,31,78,94,781,47,63,78,94,94,0,94,15,110,16,78,2
46,188,47,62,78,125,62,16,62,94,62,94,62,156,63,109,234,47,78,110,31,47,2
47,94,47,47,125,62,110,62,47,63,156,32,125,47,62,125,63,16,78,47,47,62,2
62,94,47,62,79,46,62,16,62,140,922,94,62,156,63,109,234,62,47,63,31,47,2
109,47,94,62,172,15,94,46,63,78,94,78,47,62,141,62,109,16,93,32,47,62,2
94,31,78,32,94,46,16,141,16,63,78,47,94,46,109,31,78,16,78,47,62,79,2
63,78,94,62,78,94,79,15,94,110,828,78,47,62,141,62,109,79,46,94,47,62,2
62,63,62,63,78,62,63,78,62,62,62,109,62,94,78,93,78,47,31,78,47,62,2
62,63,62,78,63,125,78,125,47,62,94,62,78,63,78,94,93,78,47,62,62,63,2
62,47,78,63,47,125,62,78,63,79,62,109,62,94,78,93,78,63,31,125,47,62,2
31,16,78,47,125,47,93,16,78,78,594,15,78,78,47,63,110,16,47,94,0,31,2
78,16,110,93,484,500,609,47,16,31,110,31,63,78,31,62,109,0,94,16,94,16,2
78,0,110,47,0,47,31,78,94,78,0,15,78,78,47,63,110,16,93,78,0,31,2
78,94,62,157,78,172,79,78,93,63,125,141,62,79,79,78,63,94,15,94,31,79,2
78,141,63,0,109,157,125,141,94,94,15,94,78,78,78,110,78,78,47,78,94,94,2
93,79,78,157,47,156,140,63,78,141,0,141,62,79,79,78,63,94,156,94,31,79,2
63,93,63,94,78,187,63,62,47,63,93,156,63,109,78,94,188,78,78,78,78,63,2
78,78,63,63,63,62,62,94,78,63,110,63,78,78,63,109,62,63,78,62,62,47,2
47,109,63,94,63,140,63,47,78,156,110,156,63,109,78,94,188,47,47,94,78,63,2
125,46,156,0,78,78,63,16,78,62,0,78,94,62,31,109,93,31,94,47,31,63,2
125,110,78,78,141,47,62,47,31,70,110,94,62,63,15,125,63,16,94,94,0,63,2
78,15,94,0,0,15,125,94,94,1390,984,78,94,62,31,109,93,63,31,156,31,63,2
94,94,78,62,109,31,94,141,31,109,94,63,78,94,141,0,93,31,78,63,32,93,2
94,109,63,78,110,31,78,78,31,111,120,94,94,46,63,172,125,78,78,94,93,78,2
31,78,156,62,0,0,78,47,109,0,735,63,78,94,141,0,93,78,94,78,32,93,2
