dtfk1,ft1,ft2,dtfk3,ft3,dtfk4,dtsk4,dtfk5,ft5,ft6,dtfk7,ft7,dtsk7,ft10,dtsk10,dtfk11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtsk13,dtsk14,sum,gender
94,47,110,94,62,63,62,79,78,94,94,47,78,62,110,78,63,0,78,78,47,78,63,3866,1
125,16,109,78,63,93,78,78,31,62,110,31,78,63,62,78,78,125,110,125,125,125,125,3953,1
156,16,63,109,31,78,78,0,31,94,156,31,125,47,63,62,62,94,235,125,0,94,125,3921,1
109,31,110,78,47,93,78,0,0,62,156,16,94,63,62,78,78,125,110,125,31,109,125,3623,1
125,16,15,125,0,47,203,203,47,78,31,63,31,62,94,157,62,31,47,156,110,62,62,3231,1
47,78,62,31,109,344,0,1469,140,78,0,62,156,78,78,0,63,156,16,31,125,15,94,4361,1
16,79,47,31,78,47,203,141,15,0,125,719,109,62,94,157,62,31,47,94,0,62,62,4186,1
141,62,250,94,62,78,78,78,249,282,78,344,407,79,93,94,79,47,109,78,391,109,94,5854,1
109,63,93,109,94,62,78,62,204,63,78,172,78,63,93,94,78,94,110,78,516,78,93,5009,1
110,0,110,407,15,78,78,1109,63,93,94,203,78,79,93,94,79,47,109,93,235,78,94,5833,1
156,47,62,140,32,78,110,110,15,47,78,16,110,78,79,63,15,31,63,48,5,84,78,3717,1
15,63,79,93,32,15,31,141,0,188,16,78,48,78,63,16,62,109,31,16,94,0,16,2360,1
63,15,328,110,15,78,110,438,125,32,625,32,79,78,79,63,15,31,63,16,110,15,78,3677,1
156,16,109,109,32,187,157,157,156,203,110,94,93,109,63,94,63,157,171,110,93,161,94,4960,1
125,110,16,94,125,78,47,172,0,93,125,125,110,110,62,16,62,172,78,531,140,516,93,5704,1
250,110,16,93,63,187,157,94,156,78,141,140,78,109,63,94,63,157,171,93,110,109,94,5814,1
125,93,94,94,93,94,125,125,78,109,109,63,93,62,94,125,78,110,93,94,47,109,79,4233,1
141,78,125,94,78,94,109,109,32,94,110,140,94,93,78,156,110,94,453,94,31,125,94,4563,1
109,16,31,93,63,94,125,125,47,140,125,110,78,62,94,125,78,110,93,94,78,141,79,4142,1
78,63,78,63,62,78,94,94,219,94,78,109,63,63,78,78,46,46,63,63,94,78,94,3677,1
109,32,109,62,47,94,78,94,187,62,110,15,63,109,47,94,78,63,109,63,16,93,63,3404,1
78,78,110,63,15,78,94,110,234,109,93,0,63,63,78,78,46,46,63,63,31,94,94,3484,1
93,47,93,171,16,94,156,156,32,15,94,31,109,141,94,250,125,16,114,78,109,16,109,4112,1
94,16,140,110,47,125,63,110,78,109,62,109,78,110,93,125,94,93,110,62,140,16,125,3546,1
250,0,63,109,32,94,156,125,79,125,141,15,94,141,94,250,125,16,114,125,0,109,109,4802,1
125,15,94,78,31,78,141,141,62,79,78,63,78,47,63,62,63,78,16,0,110,15,156,3298,1
78,15,109,125,16,78,63,0,15,62,78,78,0,109,63,78,32,109,187,94,15,94,78,3000,1
78,31,93,78,31,78,141,187,0,0,140,63,62,47,63,62,63,78,16,78,141,78,156,4078,1
93,47,141,109,203,297,203,203,15,63,125,16,94,62,125,94,109,94,78,94,109,125,110,4810,1
172,16,0,94,31,93,78,156,16,78,109,0,94,93,79,109,141,78,109,15,78,0,78,3762,1
62,110,219,94,16,297,203,0,47,125,47,16,172,62,125,94,109,94,78,78,15,141,110,4143,1
94,78,94,109,141,110,203,203,78,390,125,47,110,78,125,109,78,110,93,78,94,78,78,5623,1
500,15,16,109,485,125,62,0,15,63,46,109,78,62,94,78,109,94,172,79,78,78,94,5015,1
93,375,109,110,78,110,203,0,47,78,141,31,110,78,125,109,78,110,93,94,484,203,78,6649,1
156,47,63,141,47,109,78,78,32,62,15,47,31,16,62,47,47,47,63,31,78,0,16,3281,1
78,156,125,47,63,31,16,531,625,79,47,79,31,94,62,94,62,109,31,32,78,31,0,3485,1
78,156,47,31,63,109,78,671,193,109,78,32,93,16,62,47,47,47,63,0,79,78,16,4676,1
110,15,63,141,15,110,125,125,31,31,63,125,203,47,93,47,31,16,63,46,109,16,47,4046,1
47,31,547,94,15,16,94,0,0,63,0,16,46,93,79,0,47,78,156,0,94,15,93,4154,1
32,62,63,203,16,110,125,657,720,47,250,78,453,47,93,47,31,16,63,93,63,219,47,6861,1
94,62,125,63,31,63,78,78,31,141,78,79,62,60,106,47,63,94,62,63,94,62,62,3348,1
78,47,125,63,297,79,63,78,250,67,94,93,63,78,31,78,63,176,13,63,78,62,62,3587,1
63,62,126,62,47,63,78,62,188,86,78,140,63,60,106,47,63,94,62,62,141,235,62,3553,1
78,78,78,109,297,109,109,109,31,125,47,234,78,62,109,140,62,203,63,32,78,109,62,3921,2
78,47,47,93,203,125,62,0,31,47,94,109,32,78,63,109,78,63,94,78,265,110,78,3845,2
78,16,31,78,172,109,109,0,16,251,125,109,109,62,109,140,62,203,63,78,219,78,62,4874,2
375,16,94,62,94,94,250,250,31,125,109,62,94,63,62,94,94,47,78,156,63,109,110,4562,2
94,31,31,63,62,47,62,0,32,94,47,125,156,62,63,79,62,62,266,16,78,31,78,3488,2
171,63,63,94,47,94,250,62,94,46,63,15,62,63,62,94,94,47,78,78,110,172,110,5671,2
109,47,31,78,16,94,250,250,47,15,62,47,62,62,78,32,31,78,16,16,78,47,78,3049,2
63,15,62,94,31,78,16,0,47,172,47,125,16,63,78,31,31,63,125,16,78,16,110,3707,2
32,93,188,62,16,94,250,906,1000,31,94,203,78,62,78,32,31,78,16,110,15,93,78,8140,2
62,16,16,62,32,78,109,109,31,140,62,32,78,188,359,218,16,47,62,16,78,16,63,3000,2
47,359,15,63,15,62,47,0,15,78,31,47,16,63,94,94,62,156,16,16,78,15,47,2969,2
63,78,203,78,15,78,109,0,31,32,125,78,78,188,359,218,16,47,62,47,15,94,63,4467,2
172,437,94,78,94,94,140,140,31,141,93,16,94,63,109,62,62,94,109,125,78,94,62,4296,2
219,15,16,94,62,94,78,0,16,62,31,109,125,78,63,94,62,78,78,16,78,46,78,3310,2
140,110,31,94,47,94,140,109,16,78,109,16,78,63,109,62,62,94,109,78,94,78,62,4249,2
57,4369,168,69,166,90,80,80,442,101,89,36,79,78,78,69,41,78,109,81,37,78,61,8445,2
192,4,80,98,49,78,78,70,411,94,89,24,81,68,150,78,94,62,141,79,13,85,78,4213,2
74,6,136,79,21,90,80,73,185,31,11,73,31,78,78,69,41,78,109,78,15,94,61,3365,2
110,156,31,94,172,109,172,172,47,78,79,78,78,250,78,156,141,47,125,15,63,78,125,4252,2
94,15,125,78,62,156,78,0,31,94,109,94,15,78,63,110,62,94,62,410,94,62,125,3846,2
187,78,15,78,109,109,172,0,15,93,93,172,94,250,78,156,141,47,125,125,266,109,125,5502,2
93,32,47,63,0,93,187,187,0,47,63,31,78,94,78,94,47,15,78,20,88,78,93,3638,2
125,32,125,94,16,62,62,110,31,78,47,117,20,47,63,94,63,172,15,32,32,421,125,3279,2
78,78,32,78,16,93,187,109,47,94,63,15,78,94,78,94,47,15,78,125,15,125,93,3657,2
62,141,109,63,94,78,62,62,31,157,63,109,47,63,1015,79,62,203,62,62,188,46,78,4983,2
62,78,125,47,125,62,78,63,94,78,79,125,62,828,62,93,93,62,485,47,172,63,63,5531,2
31,109,125,47,125,78,62,47,78,62,94,219,47,63,1015,79,62,203,62,63,125,78,78,5221,2
109,125,79,78,109,125,109,109,47,109,94,0,94,78,109,78,203,47,78,47,78,63,78,3750,2
94,16,15,78,63,94,110,78,78,79,16,62,47,78,78,109,62,94,62,78,78,94,94,3373,2
125,0,78,94,15,125,109,93,78,78,94,31,78,78,109,78,203,47,78,94,31,141,78,5093,2
93,47,47,110,93,94,79,79,31,109,78,16,46,62,79,125,109,15,94,31,78,16,78,3298,2
94,16,62,62,47,78,78,98,59,62,62,94,31,78,93,79,140,78,0,62,32,93,62,3122,2
79,31,156,46,110,94,79,94,31,16,78,16,94,62,79,125,109,15,94,62,32,78,78,3749,2
94,31,125,79,46,79,140,140,47,62,109,0,62,63,78,94,47,0,78,16,78,0,78,2996,2
94,0,62,62,579,78,94,0,16,172,31,140,16,78,78,78,78,78,31,78,15,79,94,3220,2
62,16,94,62,32,79,140,0,63,63,62,31,78,63,78,94,47,0,78,94,15,110,78,3423,2
63,343,219,46,188,47,78,78,125,156,62,16,62,62,156,63,62,234,31,47,78,110,47,3952,2
63,0,47,47,94,93,63,125,62,47,110,62,47,125,47,62,63,63,94,16,78,47,62,3300,2
203,47,203,62,94,47,78,79,46,47,62,16,62,62,156,63,62,234,31,62,47,63,47,4171,2
140,31,31,109,47,94,172,172,15,62,94,46,63,47,62,141,125,109,94,16,93,32,62,3582,2
125,32,16,94,31,93,78,94,46,141,16,141,16,94,46,109,110,78,47,16,78,47,79,3159,2
31,109,31,63,78,94,172,78,94,0,79,15,94,47,62,141,125,109,94,79,46,94,62,5580,2
63,78,94,62,63,62,78,78,62,94,63,78,62,62,94,78,63,78,62,47,31,78,62,3012,2
78,62,109,62,63,63,63,63,125,188,78,125,47,78,63,78,63,93,78,78,47,62,63,3267,2
94,78,109,62,47,62,78,47,125,93,62,78,63,62,94,78,63,78,62,63,31,125,62,3780,2
109,47,47,31,16,78,125,125,47,62,93,16,78,78,78,47,109,110,62,16,47,94,31,3142,2
47,16,78,78,16,16,32,484,500,94,609,47,16,63,78,31,79,109,62,0,94,16,16,3721,2
94,156,78,78,0,78,125,0,47,31,31,78,94,78,78,47,109,110,62,16,93,78,31,3562,2
94,32,703,78,94,62,78,78,172,93,79,78,93,62,79,79,78,63,93,94,15,94,79,4392,2
94,16,110,78,141,93,94,109,157,78,125,141,94,78,78,78,78,78,94,78,47,78,94,3658,2
110,78,125,93,79,62,78,47,156,172,140,63,78,62,79,79,78,63,93,94,156,94,79,3643,2
94,109,141,63,93,63,78,78,187,140,63,62,47,63,109,78,63,188,78,78,78,78,63,3596,2
94,47,125,78,78,62,62,63,62,63,62,94,78,78,78,63,78,62,125,63,78,62,47,3406,2
63,62,125,47,109,63,78,63,140,62,63,47,78,63,109,78,63,188,78,47,47,94,63,3410,2
78,47,62,125,46,156,78,78,78,109,63,16,78,94,62,31,47,93,0,31,94,47,63,3397,2
94,15,47,125,110,15,47,141,47,94,62,47,31,62,63,15,46,63,141,16,94,94,63,4740,2
47,47,94,78,15,156,78,0,15,15,125,94,94,94,62,31,47,93,0,63,31,156,63,7215,2
62,79,78,94,94,78,109,109,31,125,94,141,31,78,94,141,62,93,32,31,78,63,93,3421,2
78,125,109,94,109,47,31,110,31,78,78,78,31,94,46,63,16,125,500,78,78,94,78,3729,2
78,31,46,31,78,78,109,0,0,187,78,47,109,78,94,141,62,93,32,78,94,78,93,3667,2
