@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,7,8,10,15,20,21,23,25,26,27,29,32,33,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
62,141,78,109,63,78,219,62,62,31,46,157,62,63,94,63,547,1015,79,63,203,62,188,46,47,2
62,78,63,125,47,46,63,78,63,94,1015,78,125,79,63,63,31,62,93,188,62,485,172,63,62,2
31,109,47,125,78,62,219,62,47,78,79,62,125,94,63,188,547,1015,79,63,203,62,125,78,47,2
109,125,109,79,78,125,63,109,109,47,78,109,94,94,94,110,63,109,78,94,47,78,78,63,31,2
94,16,78,15,78,78,31,110,78,78,109,79,46,16,109,94,78,78,109,94,94,62,78,94,31,2
125,0,78,78,94,94,63,109,93,78,78,78,63,94,94,94,63,109,78,94,47,78,31,141,31,2
93,47,125,47,110,94,31,79,79,31,47,109,94,78,110,78,31,79,125,110,15,94,78,16,16,2
94,16,62,62,125,47,32,78,98,59,79,62,125,62,94,94,63,93,79,78,78,0,32,93,32,2
79,31,62,156,344,62,31,79,94,31,62,16,62,78,78,78,31,79,125,110,15,94,32,78,16,2
94,31,78,125,79,79,15,140,140,47,78,62,94,109,110,47,47,78,94,78,0,78,78,0,16,2
94,0,63,62,94,78,32,94,0,16,78,172,31,31,78,78,63,78,78,94,78,31,15,79,16,2
62,16,78,94,63,78,15,140,0,63,0,63,31,62,109,94,47,78,94,78,0,78,15,110,16,2
63,343,63,219,46,47,62,78,78,125,47,156,63,62,156,94,94,156,63,110,234,31,78,110,31,2
63,0,78,47,47,47,47,63,125,62,156,47,141,110,78,63,32,47,62,140,63,94,78,47,47,2
203,47,16,203,16,47,62,78,79,46,78,47,156,62,47,140,94,156,63,110,234,31,47,63,31,2
140,31,141,31,109,94,62,172,172,15,78,62,125,94,94,78,78,62,141,110,109,94,93,32,47,2
125,32,110,16,78,78,32,78,94,46,62,141,62,16,94,63,47,46,109,110,78,47,78,47,62,2
31,109,16,31,94,94,62,172,78,94,141,0,78,79,516,110,78,62,141,110,109,94,46,94,47,2
63,78,78,94,62,62,63,78,78,62,62,94,78,63,78,62,109,94,78,63,78,62,31,78,47,2
78,62,79,109,63,62,78,63,63,125,94,188,15,78,63,62,62,63,78,79,93,78,47,62,62,2
94,78,78,109,63,78,63,78,47,125,0,93,94,62,78,79,109,94,78,63,78,62,31,125,47,2
109,47,63,47,31,78,47,125,125,47,110,62,47,93,78,78,15,78,47,16,110,62,47,94,0,2
47,16,78,78,78,110,93,32,484,500,78,94,0,609,16,31,31,78,31,78,109,62,94,16,94,2
94,156,0,78,47,110,47,125,0,47,78,31,110,31,78,78,15,78,47,16,110,62,93,78,0,2
94,32,109,703,78,62,157,78,78,172,63,93,94,79,94,63,141,79,79,78,63,93,15,94,31,2
94,16,93,110,62,63,0,94,109,157,79,78,93,125,110,94,94,78,78,141,78,94,47,78,94,2
110,78,78,125,63,78,157,78,47,156,62,172,15,140,79,141,141,79,79,78,63,93,156,94,31,2
94,109,62,141,63,63,94,78,78,187,63,140,94,63,63,63,156,109,78,78,188,78,78,78,78,2
94,47,63,125,62,63,63,62,63,62,109,63,172,62,78,63,63,78,63,156,62,125,78,62,62,2
63,62,63,125,47,63,94,78,63,140,63,62,110,63,62,156,156,109,78,78,188,78,47,94,78,2
78,47,157,62,125,156,0,78,78,78,78,109,94,63,266,62,78,62,31,46,93,0,94,47,31,2
94,15,94,47,94,78,78,47,141,47,62,94,219,62,156,70,94,63,15,1390,63,141,94,94,0,2
47,47,16,94,0,94,0,78,0,15,94,15,110,125,31,1390,78,62,31,46,93,0,31,156,31,2
