@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,8,16,17,22,24,25,26,27,29,31,32,33,37,38,39,40,41,43'

@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
15,93,109,78,125,47,62,0,15,109,609,46,109,78,94,79,94,94,94,172,94,1
375,63,110,93,110,109,203,0,47,125,141,141,31,110,109,156,125,109,110,93,78,1
47,141,141,109,109,31,78,78,32,31,78,15,47,31,78,94,62,62,47,63,16,1
156,47,47,47,31,156,16,531,625,31,172,47,79,31,47,31,62,47,109,31,0,1
156,62,31,47,109,31,78,671,193,31,0,78,32,93,0,94,62,62,47,63,16,1
15,141,141,110,110,31,125,125,31,125,47,63,125,203,32,125,93,31,16,63,47,1
31,125,94,125,16,110,94,0,0,125,78,0,16,46,47,47,79,1000,78,156,93,1
62,47,203,16,110,31,125,657,720,15,125,250,78,453,78,125,93,31,16,63,47,1
62,63,63,63,63,172,78,78,31,78,78,78,79,62,203,40,106,63,94,62,62,1
47,46,63,62,79,62,63,78,250,47,91,94,93,63,125,47,31,101,176,13,62,1
62,46,62,94,63,172,78,62,188,78,115,78,140,63,67,40,106,63,94,62,62,1
78,109,109,109,109,79,109,109,31,78,78,47,234,78,156,141,109,109,203,63,62,2
47,94,93,63,125,63,62,0,31,141,203,94,109,32,187,78,63,125,63,94,78,2
16,125,78,62,109,79,109,0,16,94,62,125,109,109,78,141,109,109,203,63,62,2
16,62,62,94,94,156,250,250,31,141,94,109,62,94,78,156,62,109,47,78,110,2
31,110,63,47,47,47,62,0,32,141,16,47,125,156,125,63,63,94,62,266,78,2
63,31,94,125,94,156,250,62,94,94,172,63,15,62,78,156,62,109,47,78,110,2
47,78,78,94,94,141,250,250,47,47,63,62,47,62,31,63,78,16,78,16,78,2
15,109,94,94,78,172,16,0,47,47,47,47,125,16,31,15,78,968,63,125,110,2
93,62,62,78,94,141,250,906,1000,47,141,94,203,78,875,63,78,16,78,16,78,2
16,62,62,78,78,31,109,109,31,63,47,62,32,78,110,16,359,16,47,62,63,2
359,47,63,32,62,16,47,0,15,94,47,31,47,16,94,62,94,94,156,16,47,2
78,16,78,79,78,31,109,0,31,94,79,125,78,78,78,16,359,16,47,62,63,2
437,78,78,94,94,31,140,140,31,62,219,93,16,94,110,125,109,78,94,109,62,2
15,78,94,94,94,62,78,0,16,62,110,31,109,125,203,78,63,109,78,78,78,2
110,63,94,78,94,31,140,109,16,78,94,109,16,78,79,125,109,78,94,109,62,2
4369,69,69,90,90,63,80,80,442,110,192,89,36,79,96,47,78,63,78,109,61,2
4,72,98,65,78,31,78,70,411,65,187,89,24,81,94,58,150,141,62,141,78,2
6,79,79,104,90,63,80,73,185,103,172,11,73,31,94,47,78,63,78,109,61,2
156,94,94,109,109,63,172,172,47,109,94,79,78,78,156,110,78,78,47,125,125,2
15,78,78,63,156,16,78,0,31,109,62,109,94,15,109,78,63,109,94,62,125,2
78,94,78,78,109,63,172,0,15,109,141,93,172,94,125,110,78,78,47,125,125,2
32,63,63,93,93,32,187,187,0,78,125,63,31,78,94,16,78,63,15,78,93,2
32,32,94,93,62,16,62,110,31,78,78,47,117,20,47,47,63,109,172,15,125,2
78,78,78,93,93,32,187,109,47,63,94,63,15,78,47,16,78,63,15,78,93,2
141,63,63,78,78,219,62,62,31,47,62,63,109,47,109,547,1015,63,203,62,78,2
78,47,47,46,62,63,78,63,94,78,125,79,125,62,109,31,62,188,62,485,63,2
109,78,47,62,78,219,62,47,78,109,125,94,219,47,94,547,1015,63,203,62,78,2
125,78,78,125,125,63,109,109,47,125,94,94,0,94,78,63,109,94,47,78,78,2
16,78,78,78,94,31,110,78,78,187,46,16,62,47,78,78,78,94,94,62,94,2
0,94,94,94,125,63,109,93,78,110,63,94,31,78,93,63,109,94,47,78,78,2
47,110,110,94,94,31,79,79,31,140,94,78,16,46,78,31,79,110,15,94,78,2
16,125,62,47,78,32,78,98,59,124,125,62,94,31,62,63,93,78,78,0,62,2
31,344,46,62,94,31,79,94,31,125,62,78,16,94,78,31,79,110,15,94,78,2
31,79,79,79,79,15,140,140,47,90,94,109,0,62,93,47,78,78,0,78,78,2
0,94,62,78,78,32,94,0,16,93,31,31,140,16,63,63,78,94,78,31,94,2
16,63,62,78,79,15,140,0,63,125,31,62,31,78,78,47,78,78,0,78,78,2
343,46,46,47,47,62,78,78,125,79,63,62,16,62,156,94,156,110,234,31,47,2
0,47,47,47,93,47,63,125,62,141,141,110,62,47,125,32,47,140,63,94,62,2
47,16,62,47,47,62,78,79,46,110,156,62,16,62,63,94,156,110,234,31,47,2
31,109,109,94,94,62,172,172,15,100,125,94,46,63,109,78,62,110,109,94,62,2
32,78,94,78,93,32,78,94,46,110,62,16,141,16,109,47,46,110,78,47,79,2
109,94,63,94,94,62,172,78,94,125,78,79,15,94,94,78,62,110,109,94,62,2
78,62,62,62,62,63,78,78,62,79,78,63,78,62,94,109,94,63,78,62,62,2
62,63,62,62,63,78,63,63,125,62,15,78,125,47,125,62,63,79,93,78,63,2
78,63,62,78,62,63,78,47,125,63,94,62,78,63,843,109,94,63,78,62,62,2
47,31,31,78,78,47,125,125,47,47,47,93,16,78,16,15,78,16,110,62,31,2
16,78,78,110,16,93,32,484,500,47,0,609,47,16,63,31,78,78,109,62,16,2
156,47,78,110,78,47,125,0,47,62,110,31,78,94,0,15,78,16,110,62,31,2
32,78,78,62,62,157,78,78,172,62,94,79,78,93,109,141,79,78,63,93,79,2
16,62,78,63,93,0,94,109,157,78,93,125,141,94,93,94,78,141,78,94,94,2
78,63,93,78,62,157,78,47,156,94,15,140,63,78,78,141,79,78,63,93,79,2
109,63,63,63,63,94,78,78,187,63,94,63,62,47,109,156,109,78,188,78,63,2
47,62,78,63,62,63,62,63,62,78,172,62,94,78,125,63,78,156,62,125,47,2
62,47,47,63,63,94,78,63,140,47,110,63,47,78,78,156,109,78,188,78,63,2
47,125,125,156,156,0,78,78,78,180,94,63,16,78,47,78,62,46,93,0,63,2
15,94,125,78,15,78,47,141,47,187,219,62,47,31,63,94,63,1390,63,141,63,2
47,0,78,94,156,0,78,0,15,172,110,125,94,94,1312,78,62,46,93,0,63,2
79,94,94,78,78,62,109,109,31,125,78,94,141,31,125,63,94,15,93,32,93,2
125,16,94,63,47,78,31,110,31,125,109,78,78,31,15,94,46,0,125,500,78,2
31,94,31,156,78,62,109,0,0,94,120,78,47,109,109,63,94,15,93,32,93,2
