@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,9,10,11,15,17,24,25,26,27,28,29,33,37,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
79,31,62,79,94,31,62,62,78,16,94,78,78,79,125,62,110,15,94,94,16,78,2
94,31,78,140,140,47,78,94,109,0,62,110,93,78,94,94,78,0,78,94,16,78,2
94,0,63,94,0,16,78,31,31,140,16,78,63,78,78,94,94,78,31,62,16,94,2
62,16,78,140,0,63,0,31,62,31,78,109,78,78,94,94,78,0,78,94,16,78,2
63,343,63,78,78,125,47,63,62,16,62,156,156,156,63,109,110,234,31,62,31,47,2
63,0,78,63,125,62,156,141,110,62,47,78,125,47,62,125,140,63,94,47,47,62,2
203,47,16,78,79,46,78,156,62,16,62,47,63,156,63,109,110,234,31,62,31,47,2
140,31,141,172,172,15,78,125,94,46,63,94,109,62,141,62,110,109,94,94,47,62,2
125,32,110,78,94,46,62,62,16,141,16,94,109,46,109,31,110,78,47,78,62,79,2
31,109,16,172,78,94,141,78,79,15,94,516,94,62,141,62,110,109,94,94,47,62,2
63,78,78,78,78,62,62,78,63,78,62,78,94,94,78,93,63,78,62,63,47,62,2
78,62,79,63,63,125,94,15,78,125,47,63,125,63,78,94,79,93,78,78,62,63,2
94,78,78,78,47,125,0,94,62,78,63,78,843,94,78,93,63,78,62,63,47,62,2
109,47,63,125,125,47,110,47,93,16,78,78,16,78,47,63,16,110,62,78,0,31,2
47,16,78,32,484,500,78,0,609,47,16,16,63,78,31,62,78,109,62,16,94,16,2
94,156,0,125,0,47,78,110,31,78,94,78,0,78,47,63,16,110,62,78,0,31,2
94,32,109,78,78,172,63,94,79,78,93,94,109,79,79,78,78,63,93,62,31,79,2
94,16,93,94,109,157,79,93,125,141,94,110,93,78,78,110,141,78,94,78,94,94,2
110,78,78,78,47,156,62,15,140,63,78,79,78,79,79,78,78,63,93,62,31,79,2
94,109,62,78,78,187,63,94,63,62,47,63,109,109,78,94,78,188,78,47,78,63,2
94,47,63,62,63,62,109,172,62,94,78,78,125,78,63,109,156,62,125,63,62,47,2
63,62,63,78,63,140,63,110,63,47,78,62,78,109,78,94,78,188,78,47,78,63,2
78,47,157,78,78,78,78,94,63,16,78,266,47,62,31,109,46,93,0,78,31,63,2
94,15,94,47,141,47,62,219,62,47,31,156,63,63,15,125,1390,63,141,93,0,63,2
47,47,16,78,0,15,94,110,125,94,94,31,1312,62,31,109,46,93,0,78,31,63,2
62,79,109,109,109,31,63,78,94,141,31,110,125,94,141,0,15,93,32,78,32,93,2
78,125,93,31,110,31,94,109,78,78,31,156,15,46,63,172,0,125,500,63,93,78,2
78,31,78,109,0,0,0,120,78,47,109,63,109,94,141,0,15,93,32,78,32,93,2
