@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,9,10,11,15,16,17,18,19,23,24,25,26,27,29,39,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
109,125,78,78,0,0,16,94,78,78,62,78,110,78,93,125,110,125,31,78,32,125,1
125,109,125,203,203,47,63,31,47,16,94,157,31,62,31,31,47,156,110,78,16,62,1
47,16,63,0,1469,140,62,156,125,78,78,0,47,63,78,156,16,31,125,63,31,94,1
16,31,62,203,141,15,719,109,78,16,94,157,31,62,31,31,47,94,0,78,16,62,1
141,110,94,78,78,249,344,407,78,234,93,94,140,79,78,47,109,78,391,78,109,94,1
109,93,94,78,62,204,172,78,109,281,93,94,172,78,213,94,110,78,516,94,125,93,1
110,78,78,78,1109,63,203,78,78,234,93,94,140,79,78,47,109,93,235,78,109,94,1
156,47,140,110,110,15,16,110,94,63,79,63,47,15,63,31,63,48,5,46,109,78,1
15,31,46,31,141,0,78,48,46,31,63,16,78,62,31,109,31,16,94,16,109,16,1
63,16,32,110,438,125,32,79,93,63,79,63,47,15,63,31,63,16,110,46,109,78,1
156,125,109,157,157,156,94,93,218,94,63,94,203,63,47,157,171,110,93,141,15,94,1
125,109,94,47,172,0,125,110,297,93,62,16,141,62,47,172,78,531,140,125,63,93,1
250,531,125,157,94,156,140,78,110,94,63,94,203,63,47,157,171,93,110,141,15,94,1
125,125,94,125,125,78,63,93,78,94,94,125,94,78,109,110,93,94,47,109,62,79,1
141,125,94,109,109,32,140,94,109,47,78,156,47,110,187,94,453,94,31,109,94,94,1
109,94,78,125,125,47,110,78,110,94,94,125,94,78,109,110,93,94,78,109,62,79,1
78,109,63,94,94,219,109,63,94,93,78,78,110,46,94,46,63,63,94,110,62,94,1
109,62,47,78,94,187,15,63,94,78,47,94,93,78,125,63,109,63,16,78,109,63,1
78,63,62,94,110,234,0,63,94,93,78,78,110,46,94,46,63,63,31,110,62,94,1
93,110,171,156,156,32,31,109,141,15,94,250,31,125,125,16,114,78,109,125,0,109,1
94,109,63,63,110,78,109,78,94,62,93,125,93,94,110,93,110,62,140,78,0,125,1
250,62,125,156,125,79,15,94,94,15,94,250,31,125,125,16,114,125,0,125,0,109,1
125,78,78,141,141,62,63,78,140,47,63,62,140,63,109,78,16,0,110,110,62,156,1
78,94,16,63,0,15,78,0,172,78,63,78,93,32,31,109,187,94,15,94,31,78,1
78,94,110,141,187,0,63,62,78,47,63,62,140,63,109,78,16,78,141,110,62,156,1
93,94,109,203,203,15,16,94,78,157,125,94,78,109,141,94,78,94,109,109,31,110,1
172,78,125,78,156,16,0,94,94,110,79,109,63,141,375,78,109,15,78,78,15,78,1
