@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,10,14,16,17,18,22,23,24,25,26,27,33,35,38,39,40,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,78,110,47,47,62,0,141,47,125,156,63,62,63,79,78,94,266,16,31,78,2
171,16,31,125,156,250,62,94,63,15,62,156,63,62,94,62,109,78,78,47,110,2
109,172,78,94,141,250,250,47,62,47,62,63,62,78,32,141,16,16,16,31,78,2
63,109,109,94,172,16,0,47,47,125,16,15,63,78,31,94,968,125,16,31,110,2
32,16,62,78,141,250,906,47,94,203,78,63,62,78,32,141,16,16,110,31,78,2
62,109,62,78,31,109,109,63,62,32,78,16,188,359,218,47,16,62,16,46,63,2
47,94,47,32,16,47,0,94,31,47,16,62,63,94,94,15,94,16,16,47,47,2
63,16,16,79,31,109,0,94,125,78,78,16,188,359,218,47,16,62,47,46,63,2
172,94,78,94,31,140,140,62,93,16,94,125,63,109,62,94,78,109,125,78,62,2
219,94,78,94,62,78,0,62,31,109,125,78,78,63,94,109,109,78,16,63,78,2
140,16,63,78,31,140,109,78,109,16,78,125,63,109,62,94,78,109,78,78,62,2
57,113,69,90,63,80,80,110,89,36,79,47,78,78,69,111,63,109,81,69,61,2
192,79,72,65,31,78,70,65,89,24,81,58,68,150,78,94,141,141,79,63,78,2
74,79,79,104,63,80,73,103,11,73,31,47,78,78,69,111,63,109,78,69,61,2
110,125,94,109,63,172,172,109,79,78,78,110,250,78,156,63,78,125,15,78,125,2
94,94,78,63,16,78,0,109,109,94,15,78,78,63,110,47,109,62,410,172,125,2
187,410,94,78,63,172,0,109,93,172,94,110,250,78,156,63,78,125,125,78,125,2
93,125,63,93,32,187,187,78,63,31,78,16,94,78,94,78,63,78,20,16,93,2
125,94,32,93,16,62,110,78,47,117,20,47,47,63,94,31,109,15,32,46,125,2
78,32,78,93,32,187,109,63,63,15,78,16,94,78,94,78,63,78,125,16,93,2
62,78,63,78,219,62,62,47,63,109,47,547,63,1015,79,125,63,62,62,47,78,2
62,63,47,46,63,78,63,78,79,125,62,31,828,62,93,110,188,485,47,62,63,2
31,47,78,62,219,62,47,109,94,219,47,547,63,1015,79,125,63,62,63,47,78,2
109,109,78,125,63,109,109,125,94,0,94,63,78,109,78,93,94,78,47,31,78,2
94,78,78,78,31,110,78,187,16,62,47,78,78,78,109,110,94,62,78,31,94,2
125,78,94,94,63,109,93,110,94,31,78,63,78,109,78,93,94,78,94,31,78,2
93,125,110,94,31,79,79,140,78,16,46,31,62,79,125,62,110,94,31,16,78,2
94,62,125,47,32,78,98,124,62,94,31,63,78,93,79,93,78,0,62,32,62,2
79,62,344,62,31,79,94,125,78,16,94,31,62,79,125,62,110,94,62,16,78,2
94,78,79,79,15,140,140,90,109,0,62,47,63,78,94,94,78,78,16,16,78,2
94,63,94,78,32,94,0,93,31,140,16,63,78,78,78,94,94,31,78,16,94,2
62,78,63,78,15,140,0,125,62,31,78,47,63,78,94,94,78,78,94,16,78,2
63,63,46,47,62,78,78,79,62,16,62,94,62,156,63,109,110,31,47,31,47,2
63,78,47,47,47,63,125,141,110,62,47,32,125,47,62,125,140,94,16,47,62,2
203,16,16,47,62,78,79,110,62,16,62,94,62,156,63,109,110,31,62,31,47,2
140,141,109,94,62,172,172,100,94,46,63,78,47,62,141,62,110,94,16,47,62,2
125,110,78,78,32,78,94,110,16,141,16,47,94,46,109,31,110,47,16,62,79,2
31,16,94,94,62,172,78,125,79,15,94,78,47,62,141,62,110,94,79,47,62,2
63,78,62,62,63,78,78,79,63,78,62,109,62,94,78,93,63,62,47,47,62,2
78,79,63,62,78,63,63,62,78,125,47,62,78,63,78,94,79,78,78,62,63,2
94,78,63,78,63,78,47,63,62,78,63,109,62,94,78,93,63,62,63,47,62,2
109,63,31,78,47,125,125,47,93,16,78,15,78,78,47,63,16,62,16,0,31,2
47,78,78,110,93,32,484,47,609,47,16,31,63,78,31,62,78,62,0,94,16,2
94,0,47,110,47,125,0,62,31,78,94,15,78,78,47,63,16,62,16,0,31,2
94,109,78,62,157,78,78,62,79,78,93,141,62,79,79,78,78,93,94,31,79,2
94,93,62,63,0,94,109,78,125,141,94,94,78,78,78,110,141,94,78,94,94,2
110,78,63,78,157,78,47,94,140,63,78,141,62,79,79,78,78,93,94,31,79,2
94,62,63,63,94,78,78,63,63,62,47,156,63,109,78,94,78,78,78,78,63,2
94,63,62,63,63,62,63,78,62,94,78,63,78,78,63,109,156,125,63,62,47,2
63,63,47,63,94,78,63,47,63,47,78,156,63,109,78,94,78,78,47,78,63,2
78,157,125,156,0,78,78,180,63,16,78,78,94,62,31,109,46,0,31,31,63,2
94,94,94,78,78,47,141,187,62,47,31,94,62,63,15,125,1390,141,16,0,63,2
47,16,0,94,0,78,0,172,125,94,94,78,94,62,31,109,46,0,63,31,63,2
62,109,94,78,62,109,109,125,94,141,31,63,78,94,141,0,15,32,31,32,93,2
78,93,16,63,78,31,110,125,78,78,31,94,94,46,63,172,0,500,78,93,78,2
78,78,94,156,62,109,0,94,78,47,109,63,78,94,141,0,15,32,78,32,93,2
