@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,6,7,8,9,14,16,17,18,25,26,28,33,34,35,37,38,39,42,43'

@attribute dtsk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtsk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
62,63,172,78,78,78,78,79,62,63,203,47,78,60,106,47,125,62,78,79,1
62,79,62,63,78,47,94,93,63,78,125,47,62,78,31,78,109,13,62,141,1
63,63,172,78,62,78,78,140,63,74,67,101,94,60,106,47,125,62,78,79,1
110,109,79,109,109,78,47,234,78,110,156,62,94,62,109,140,16,63,63,16,2
78,125,63,62,0,141,94,109,32,78,187,63,110,78,63,109,16,94,78,16,2
78,109,79,109,0,94,125,109,109,63,78,125,94,62,109,140,16,63,63,16,2
78,94,156,250,250,141,109,62,94,109,78,141,235,63,62,94,62,78,93,47,2
78,47,47,62,0,141,47,125,156,78,125,110,47,62,63,79,78,266,110,31,2
16,94,156,250,62,94,63,15,62,109,78,94,47,63,62,94,62,78,93,47,2
172,94,141,250,250,47,62,47,62,47,31,47,94,62,78,32,141,16,63,31,2
109,78,172,16,0,47,47,125,16,94,31,49,47,63,78,31,94,125,63,31,2
16,94,141,250,906,47,94,203,78,91,875,968,47,62,78,32,141,16,63,31,2
109,78,31,109,109,63,62,32,78,62,110,94,94,188,359,218,47,62,47,46,2
94,62,16,47,0,94,31,47,16,62,94,78,94,63,94,94,15,16,63,47,2
16,78,31,109,0,94,125,78,78,62,78,94,31,188,359,218,47,62,47,46,2
94,94,31,140,140,62,93,16,94,94,110,78,94,63,109,62,94,109,78,78,2
94,94,62,78,0,62,31,109,125,94,203,78,32,78,63,94,109,78,78,63,2
16,94,31,140,109,78,109,16,78,62,79,109,31,63,109,62,94,109,78,78,2
113,90,63,80,80,110,89,36,79,79,96,80,141,78,78,69,111,109,33,69,2
79,78,31,78,70,65,89,24,81,94,94,78,406,68,150,78,94,141,78,63,2
79,90,63,80,73,103,11,73,31,47,94,141,89,78,78,69,111,109,33,69,2
125,109,63,172,172,109,79,78,78,109,156,94,63,250,78,156,63,125,78,78,2
