@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,15,16,18,19,21,23,24,25,26,27,28,29,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,16,109,110,172,125,0,63,110,78,109,109,94,93,125,93,94,110,62,78,0,125,1
250,0,62,109,78,94,47,156,125,79,125,15,94,94,250,31,125,125,125,125,0,109,1
125,15,78,78,78,78,16,141,141,62,79,63,140,63,62,140,63,109,0,110,62,156,1
78,15,94,125,78,78,78,63,0,15,62,78,172,63,78,93,32,31,94,94,31,78,1
78,31,94,78,94,78,16,141,187,0,0,63,78,63,62,140,63,109,78,110,62,156,1
93,47,94,109,297,297,16,203,203,15,63,16,78,125,94,78,109,141,94,109,31,110,1
172,16,78,94,78,93,32,78,156,16,78,0,94,79,109,63,141,375,15,78,15,78,1
62,110,15,94,125,297,16,203,0,47,125,16,78,125,94,78,109,141,78,109,31,110,1
94,78,125,109,110,110,109,203,203,78,390,47,110,125,109,63,78,109,78,94,47,78,1
500,15,156,109,78,125,47,62,0,15,63,109,110,94,78,110,109,94,79,78,31,94,1
93,375,79,110,93,110,109,203,0,47,78,31,78,125,109,63,78,109,94,94,47,78,1
156,47,78,141,109,109,31,78,78,32,62,47,78,62,47,125,47,62,31,0,78,16,1
78,156,32,47,47,31,156,16,531,625,79,79,31,62,94,0,62,47,32,31,62,0,1
78,156,32,31,47,109,31,78,671,193,109,32,16,62,47,125,47,62,0,0,78,16,1
110,15,109,141,110,110,31,125,125,31,31,125,203,93,47,141,31,31,46,15,93,47,1
47,31,109,94,125,16,110,94,0,0,63,16,16,79,0,93,47,1000,0,0,63,93,1
32,62,0,203,16,110,31,125,657,720,47,78,94,93,47,141,31,31,93,15,93,47,1
94,62,62,63,63,63,172,78,78,31,141,79,63,106,47,125,63,63,63,78,79,62,1
78,47,62,63,62,79,62,63,78,250,67,93,78,31,78,109,63,101,63,62,141,62,1
63,62,63,62,94,63,172,78,62,188,86,140,74,106,47,125,63,63,62,78,79,62,1
