@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,7,8,17,18,21,23,24,25,26,27,33,34,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,32,78,78,93,32,78,94,46,110,62,16,141,94,47,94,46,109,31,78,47,62,79,2
31,109,94,94,94,62,172,78,94,125,141,79,15,516,78,47,62,141,62,109,94,47,62,2
63,78,62,62,62,63,78,78,62,79,62,63,78,78,109,62,94,78,93,78,62,47,62,2
78,62,63,62,63,78,63,63,125,62,94,78,125,63,62,78,63,78,94,93,78,62,63,2
94,78,63,78,62,63,78,47,125,63,0,62,78,78,109,62,94,78,93,78,62,47,62,2
109,47,31,78,78,47,125,125,47,47,110,93,16,78,15,78,78,47,63,110,62,0,31,2
47,16,78,110,16,93,32,484,500,47,78,609,47,16,31,63,78,31,62,109,62,94,16,2
94,156,47,110,78,47,125,0,47,62,78,31,78,78,15,78,78,47,63,110,62,0,31,2
94,32,78,62,62,157,78,78,172,62,63,79,78,94,141,62,79,79,78,63,93,31,79,2
94,16,62,63,93,0,94,109,157,78,79,125,141,110,94,78,78,78,110,78,94,94,94,2
110,78,63,78,62,157,78,47,156,94,62,140,63,79,141,62,79,79,78,63,93,31,79,2
94,109,63,63,63,94,78,78,187,63,63,63,62,63,156,63,109,78,94,188,78,78,63,2
94,47,62,63,62,63,62,63,62,78,109,62,94,78,63,78,78,63,109,62,125,62,47,2
63,62,47,63,63,94,78,63,140,47,63,63,47,62,156,63,109,78,94,188,78,78,63,2
78,47,125,156,156,0,78,78,78,180,78,63,16,266,78,94,62,31,109,93,0,31,63,2
94,15,94,78,15,78,47,141,47,187,62,62,47,156,94,62,63,15,125,63,141,0,63,2
47,47,0,94,156,0,78,0,15,172,94,125,94,31,78,94,62,31,109,93,0,31,63,2
62,79,94,78,78,62,109,109,31,125,63,94,141,110,63,78,94,141,0,93,32,32,93,2
78,125,16,63,47,78,31,110,31,125,94,78,78,156,94,94,46,63,172,125,500,93,78,2
78,31,94,156,78,62,109,0,0,94,0,78,47,63,63,78,94,141,0,93,32,32,93,2
