@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,7,8,11,17,18,21,23,24,25,26,27,28,33,36,38,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,15,94,16,78,78,63,0,15,125,63,78,78,172,109,63,78,93,31,109,94,94,31,78,3000,1
78,31,94,110,94,78,141,187,0,94,94,140,63,78,47,63,62,140,109,78,78,110,62,156,4078,1
93,47,94,109,297,297,203,203,15,137,78,125,16,78,62,125,94,78,141,94,94,109,31,110,4810,1
172,16,78,125,78,93,78,156,16,137,125,109,0,94,93,79,109,63,375,78,15,78,15,78,3762,1
62,110,15,62,125,297,203,0,47,140,32,47,16,78,62,125,94,78,141,94,78,109,31,110,4143,1
94,78,125,109,110,110,203,203,78,109,78,125,47,110,78,125,109,63,109,110,78,94,47,78,5623,1
500,15,156,93,78,125,62,0,15,109,125,46,109,110,62,94,78,110,94,94,79,78,31,94,5015,1
93,375,79,63,93,110,203,0,47,125,78,141,31,78,78,125,109,63,109,110,94,94,47,78,6649,1
156,47,78,141,109,109,78,78,32,31,47,15,47,78,16,62,47,125,62,47,31,0,78,16,3281,1
78,156,32,47,47,31,16,531,625,31,62,47,79,31,94,62,94,0,47,109,32,31,62,0,3485,1
78,156,32,62,47,109,78,671,193,31,15,78,32,16,16,62,47,125,62,47,0,0,78,16,4676,1
110,15,109,141,110,110,125,125,31,125,125,63,125,203,47,93,47,141,31,16,46,15,93,47,4046,1
47,31,109,125,125,16,94,0,0,125,93,0,16,16,93,79,0,93,1000,78,0,0,63,93,4154,1
32,62,0,47,16,110,125,657,720,15,63,250,78,94,47,93,47,141,31,16,93,15,93,47,6861,1
94,62,62,63,63,63,78,78,31,78,62,78,79,63,60,106,47,125,63,94,63,78,79,62,3348,1
78,47,62,46,62,79,63,78,250,47,106,94,93,78,78,31,78,109,101,176,63,62,141,62,3587,1
63,62,63,46,94,63,78,62,188,78,27,78,140,74,60,106,47,125,63,94,62,78,79,62,3553,1
78,78,110,109,109,109,109,109,31,78,63,47,234,110,62,109,140,16,109,203,32,63,16,62,3921,2
78,47,78,94,63,125,62,0,31,141,109,94,109,78,78,63,109,16,125,63,78,78,16,78,3845,2
78,16,78,125,62,109,109,0,16,94,93,125,109,63,62,109,140,16,109,203,78,63,16,62,4874,2
375,16,78,62,94,94,250,250,31,141,47,109,62,109,63,62,94,62,109,47,156,93,47,110,4562,2
94,31,78,110,47,47,62,0,32,141,62,47,125,78,62,63,79,78,94,62,16,110,31,78,3488,2
171,63,16,31,125,94,250,62,94,94,32,63,15,109,63,62,94,62,109,47,78,93,47,110,5671,2
109,47,172,78,94,94,250,250,47,47,94,62,47,47,62,78,32,141,16,78,16,63,31,78,3049,2
63,15,109,109,94,78,16,0,47,47,78,47,125,94,63,78,31,94,968,63,16,63,31,110,3707,2
32,93,16,62,78,94,250,906,1000,47,78,94,203,91,62,78,32,141,16,78,110,63,31,78,8140,2
62,16,109,62,78,78,109,109,31,63,32,62,32,62,188,359,218,47,16,47,16,47,46,63,3000,2
47,359,94,47,32,62,47,0,15,94,359,31,47,62,63,94,94,15,94,156,16,63,47,47,2969,2
63,78,16,16,79,78,109,0,31,94,59,125,78,62,188,359,218,47,16,47,47,47,46,63,4467,2
172,437,94,78,94,94,140,140,31,62,94,93,16,94,63,109,62,94,78,94,125,78,78,62,4296,2
219,15,94,78,94,94,78,0,16,62,109,31,109,94,78,63,94,109,109,78,16,78,63,78,3310,2
140,110,16,63,78,94,140,109,16,78,63,109,16,62,63,109,62,94,78,94,78,78,78,62,4249,2
57,4369,113,69,90,90,80,80,442,110,65,89,36,79,78,78,69,111,63,78,81,33,69,61,8445,2
192,4,79,72,65,78,78,70,411,65,78,89,24,94,68,150,78,94,141,62,79,78,63,78,4213,2
74,6,79,79,104,90,80,73,185,103,109,11,73,47,78,78,69,111,63,78,78,33,69,61,3365,2
110,156,125,94,109,109,172,172,47,109,63,79,78,109,250,78,156,63,78,47,15,78,78,125,4252,2
94,15,94,78,63,156,78,0,31,109,78,109,94,110,78,63,110,47,109,94,410,109,172,125,3846,2
187,78,410,94,78,109,172,0,15,109,47,93,172,141,250,78,156,63,78,47,125,78,78,125,5502,2
93,32,125,63,93,93,187,187,0,78,93,63,31,78,94,78,94,78,63,15,20,109,16,93,3638,2
125,32,94,32,93,62,62,110,31,78,78,47,117,94,47,63,94,31,109,172,32,63,46,125,3279,2
78,78,32,78,93,93,187,109,47,63,16,63,15,94,94,78,94,78,63,15,125,109,16,93,3657,2
62,141,78,63,78,78,62,62,31,47,46,63,109,94,63,1015,79,125,63,203,62,47,47,78,4983,2
62,78,63,47,46,62,78,63,94,78,1015,79,125,63,828,62,93,110,188,62,47,63,62,63,5531,2
31,109,47,78,62,78,62,47,78,109,79,94,219,63,63,1015,79,125,63,203,63,47,47,78,5221,2
109,125,109,78,125,125,109,109,47,125,78,94,0,94,78,109,78,93,94,47,47,79,31,78,3750,2
94,16,78,78,78,94,110,78,78,187,109,16,62,109,78,78,109,110,94,94,78,78,31,94,3373,2
125,0,78,94,94,125,109,93,78,110,78,94,31,94,78,109,78,93,94,47,94,79,31,78,5093,2
93,47,125,110,94,94,79,79,31,140,47,78,16,110,62,79,125,62,110,15,31,94,16,78,3298,2
94,16,62,125,47,78,78,98,59,124,79,62,94,94,78,93,79,93,78,78,62,93,32,62,3122,2
79,31,62,344,62,94,79,94,31,125,62,78,16,78,62,79,125,62,110,15,62,94,16,78,3749,2
94,31,78,79,79,79,140,140,47,90,78,109,0,110,63,78,94,94,78,0,16,94,16,78,2996,2
94,0,63,94,78,78,94,0,16,93,78,31,140,78,78,78,78,94,94,78,78,62,16,94,3220,2
62,16,78,63,78,79,140,0,63,125,0,62,31,109,63,78,94,94,78,0,94,94,16,78,3423,2
63,343,63,46,47,47,78,78,125,79,47,62,16,156,62,156,63,109,110,234,47,62,31,47,3952,2
63,0,78,47,47,93,63,125,62,141,156,110,62,78,125,47,62,125,140,63,16,47,47,62,3300,2
203,47,16,16,47,47,78,79,46,110,78,62,16,47,62,156,63,109,110,234,62,62,31,47,4171,2
140,31,141,109,94,94,172,172,15,100,78,94,46,94,47,62,141,62,110,109,16,94,47,62,3582,2
125,32,110,78,78,93,78,94,46,110,62,16,141,94,94,46,109,31,110,78,16,78,62,79,3159,2
31,109,16,94,94,94,172,78,94,125,141,79,15,516,47,62,141,62,110,109,79,94,47,62,5580,2
63,78,78,62,62,62,78,78,62,79,62,63,78,78,62,94,78,93,63,78,47,63,47,62,3012,2
78,62,79,63,62,63,63,63,125,62,94,78,125,63,78,63,78,94,79,93,78,78,62,63,3267,2
94,78,78,63,78,62,78,47,125,63,0,62,78,78,62,94,78,93,63,78,63,63,47,62,3780,2
109,47,63,31,78,78,125,125,47,47,110,93,16,78,78,78,47,63,16,110,16,78,0,31,3142,2
47,16,78,78,110,16,32,484,500,47,78,609,47,16,63,78,31,62,78,109,0,16,94,16,3721,2
94,156,0,47,110,78,125,0,47,62,78,31,78,78,78,78,47,63,16,110,16,78,0,31,3562,2
94,32,109,78,62,62,78,78,172,62,63,79,78,94,62,79,79,78,78,63,94,62,31,79,4392,2
94,16,93,62,63,93,94,109,157,78,79,125,141,110,78,78,78,110,141,78,78,78,94,94,3658,2
110,78,78,63,78,62,78,47,156,94,62,140,63,79,62,79,79,78,78,63,94,62,31,79,3643,2
94,109,62,63,63,63,78,78,187,63,63,63,62,63,63,109,78,94,78,188,78,47,78,63,3596,2
94,47,63,62,63,62,62,63,62,78,109,62,94,78,78,78,63,109,156,62,63,63,62,47,3406,2
