@relation keyboard-gender

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
63,297,62,47,141,62,78,250,63,62,188,62,93,63,109,78,63,203,78,250,78,93,47,78,125,62,125,62,94,62,78,140,78,94,62,344,94,484,79,78,204,62,4935,1
62,797,94,78,94,62,47,235,62,78,234,94,141,203,109,219,78,125,78,375,47,62,78,94,110,141,78,78,78,78,63,140,94,78,828,78,62,375,63,63,219,78,6250,1
93,32,93,93,63,94,94,78,62,62,110,250,250,63,63,78,94,78,125,46,0,187,266,93,62,204,344,78,78,63,125,47,63,109,32,93,47,78,78,93,78,63,4202,1
78,16,94,94,47,109,62,47,78,78,31,78,125,16,63,63,62,141,78,16,47,62,516,78,94,266,16,63,93,63,125,15,78,94,93,547,0,78,31,62,16,78,3891,1
31,172,0,172,93,78,0,16,78,62,110,250,844,938,31,16,46,94,109,32,78,94,78,94,1047,1203,78,78,78,63,125,47,63,109,32,93,78,63,187,93,78,63,7094,1
156,0,94,94,16,93,93,16,109,109,32,171,171,16,109,47,125,62,63,62,63,156,78,110,126,109,78,31,47,375,156,47,78,63,16,78,47,78,16,78,31,125,3624,1
62,16,94,47,141,16,63,47,47,94,93,47,110,31,109,375,78,78,94,109,47,93,16,125,140,94,78,63,78,78,78,47,125,16,109,0,62,16,62,94,15,94,3281,1
47,31,62,109,16,93,63,62,78,109,32,171,94,31,125,15,63,140,62,125,109,125,0,16,1176,94,94,31,47,375,156,47,78,63,16,78,94,62,78,78,31,125,4501,1
125,15,110,110,78,78,78,63,93,93,94,78,78,203,63,63,94,187,141,0,78,78,94,78,141,0,203,141,109,63,94,78,94,93,16,78,78,78,78,93,32,62,3703,1
187,16,78,93,125,63,94,62,63,78,31,63,0,0,94,63,62,125,94,63,78,93,94,94,94,125,31,234,328,110,110,93,78,94,93,32,78,32,62,94,31,78,3610,1
