ft1,dtfk2,dtfk3,ft4,dtsk4,dtfk7,ft7,ft9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtfk14,ft14,dtsk14,gender
78,125,109,109,203,125,47,343,156,78,109,63,110,94,94,47,78,1
15,141,109,47,62,46,109,266,79,62,78,110,94,78,78,31,94,1
375,94,110,109,203,141,31,1114,156,78,109,63,110,484,94,47,78,1
47,78,141,31,78,15,47,125,94,16,47,125,47,78,0,78,16,1
156,15,47,156,16,47,79,78,31,94,94,0,109,78,31,62,0,1
156,62,31,31,78,78,32,937,94,16,47,125,47,79,0,78,16,1
15,109,141,31,125,63,125,109,125,47,47,141,16,109,15,93,47,1
31,62,94,110,94,0,16,203,47,93,0,93,78,94,0,63,93,1
62,15,203,31,125,250,78,781,125,47,47,141,16,63,15,93,47,1
62,62,63,172,78,78,79,125,40,60,47,125,94,94,78,79,62,1
47,47,63,62,63,94,93,76,47,78,78,109,176,78,62,141,62,1
62,62,62,172,78,78,140,63,40,60,47,125,94,141,78,79,62,1
78,110,109,79,109,47,234,16,141,62,140,16,203,78,63,16,62,2
47,94,93,63,62,94,109,203,78,78,109,16,63,265,78,16,78,2
16,328,78,79,109,125,109,156,141,62,140,16,203,219,63,16,62,2
16,78,62,156,250,109,62,157,156,63,94,62,47,63,93,47,110,2
31,219,63,47,62,47,125,219,63,62,79,78,62,78,110,31,78,2
63,218,94,156,250,63,15,1047,156,63,94,62,47,110,93,47,110,2
47,172,78,141,250,62,47,31,63,62,32,141,78,78,63,31,78,2
15,110,94,172,16,47,125,31,15,63,31,94,63,78,63,31,110,2
93,110,62,141,250,94,203,797,63,62,32,141,78,15,63,31,78,2
16,109,62,31,109,62,32,47,16,188,218,47,47,78,47,46,63,2
359,63,63,16,47,31,47,93,62,63,94,15,156,78,63,47,47,2
78,110,78,31,109,125,78,766,16,188,218,47,47,15,47,46,63,2
437,94,78,31,140,93,16,125,125,63,62,94,94,78,78,78,62,2
15,125,94,62,78,31,109,46,78,78,94,109,78,78,78,63,78,2
110,219,94,31,140,109,16,63,125,63,62,94,94,94,78,78,62,2
4369,113,69,63,80,89,36,297,47,78,69,111,78,37,33,69,61,2
4,68,98,31,78,89,24,94,58,68,78,94,62,13,78,63,78,2
6,39,79,63,80,11,73,258,47,78,69,111,78,15,33,69,61,2
156,125,94,63,172,79,78,109,110,250,156,63,47,63,78,78,125,2
15,78,78,16,78,109,94,78,78,78,110,47,94,94,109,172,125,2
78,110,78,63,172,93,172,94,110,250,156,63,47,266,78,78,125,2
32,125,63,32,187,63,31,110,16,94,94,78,15,88,109,16,93,2
32,47,94,16,62,47,117,78,47,47,94,31,172,32,63,46,125,2
78,125,78,32,187,63,15,94,16,94,94,78,15,15,109,16,93,2
141,78,63,219,62,63,109,109,547,63,79,125,203,188,47,47,78,2
78,62,47,63,78,79,125,94,31,828,93,110,62,172,63,62,63,2
109,47,47,219,62,94,219,171,547,63,79,125,203,125,47,47,78,2
125,109,78,63,109,94,0,47,63,78,78,93,47,78,79,31,78,2
16,156,78,31,110,16,62,93,78,78,109,110,94,78,78,31,94,2
0,94,94,63,109,94,31,984,63,78,78,93,47,31,79,31,78,2
47,125,110,31,79,78,16,78,31,62,125,62,15,78,94,16,78,2
16,125,62,32,78,62,94,94,63,78,79,93,78,32,93,32,62,2
31,31,46,31,79,78,16,94,31,62,125,62,15,32,94,16,78,2
31,78,79,15,140,109,0,46,47,63,94,94,0,78,94,16,78,2
0,16,62,32,94,31,140,125,63,78,78,94,78,15,62,16,94,2
16,78,62,15,140,62,31,94,47,63,94,94,0,15,94,16,78,2
343,63,46,62,78,62,16,157,94,62,63,109,234,78,62,31,47,2
0,125,47,47,63,110,62,63,32,125,62,125,63,78,47,47,62,2
47,63,62,62,78,62,16,62,94,62,63,109,234,47,62,31,47,2
31,141,109,62,172,94,46,16,78,47,141,62,109,93,94,47,62,2
32,172,94,32,78,16,141,62,47,94,109,31,78,78,78,62,79,2
109,250,63,62,172,79,15,968,78,47,141,62,109,46,94,47,62,2
78,78,62,63,78,63,78,63,109,62,78,93,78,31,63,47,62,2
62,47,62,78,63,78,125,157,62,78,78,94,93,47,78,62,63,2
78,47,62,63,78,62,78,63,109,62,78,93,78,31,63,47,62,2
47,63,31,47,125,93,16,78,15,78,47,63,110,47,78,0,31,2
16,31,78,93,32,609,47,31,31,63,31,62,109,94,16,94,16,2
156,32,78,47,125,31,78,547,15,78,47,63,110,93,78,0,31,2
32,109,78,157,78,79,78,141,141,62,79,78,63,15,62,31,79,2
16,78,78,0,94,125,141,125,94,78,78,110,78,47,78,94,94,2
78,93,93,157,78,140,63,32,141,62,79,78,63,156,62,31,79,2
109,62,63,94,78,63,62,47,156,63,78,94,188,78,47,78,63,2
47,78,78,63,62,62,94,78,63,78,63,109,62,78,63,62,47,2
62,78,47,94,78,63,47,94,156,63,78,94,188,47,47,78,63,2
47,157,125,0,78,63,16,16,78,94,31,109,93,94,78,31,63,2
15,110,125,78,47,62,47,20,94,62,15,125,63,94,93,0,63,2
47,16,78,0,78,125,94,1094,78,94,31,109,93,31,78,31,63,2
79,109,94,62,109,94,141,93,63,78,141,0,93,78,78,32,93,2
125,0,94,78,31,78,78,94,94,94,63,172,125,78,63,93,78,2
31,97,31,62,109,78,47,78,63,78,141,0,93,94,78,32,93,2
