dtfk2,dtsk3,ft4,dtfk7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
32,110,47,31,94,0,15,78,47,63,16,93,78,78,0,2
109,62,157,79,93,125,141,62,79,78,94,15,94,62,31,2
78,63,0,125,94,15,94,78,78,110,78,47,78,78,94,2
93,78,157,140,78,0,141,62,79,78,94,156,94,62,31,2
62,63,94,63,47,93,156,63,78,94,78,78,78,47,78,2
78,63,63,62,78,110,63,78,63,109,63,78,62,63,62,2
78,63,94,63,78,110,156,63,78,94,47,47,94,47,78,2
157,156,0,63,78,0,78,94,31,109,31,94,47,78,31,2
110,78,78,62,31,110,94,62,15,125,16,94,94,93,0,2
16,94,0,125,94,984,78,94,31,109,63,31,156,78,31,2
109,78,62,94,31,94,63,78,141,0,31,78,63,78,32,2
0,63,78,78,31,120,94,94,63,172,78,78,94,63,93,2
97,156,62,78,109,735,63,78,141,0,78,94,78,78,32,2
