@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,34,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,0,94,63,109,109,78,93,203,94,79,31,78,2
93,47,110,31,79,79,125,62,109,31,94,16,78,2
94,16,62,32,78,93,79,93,140,62,93,32,62,2
79,31,46,31,79,79,125,62,109,62,94,16,78,2
94,31,79,15,140,78,94,94,47,16,94,16,78,2
94,0,62,32,94,78,78,94,78,78,62,16,94,2
62,16,62,15,140,78,94,94,47,94,94,16,78,2
63,343,46,62,78,156,63,109,62,47,62,31,47,2
63,0,47,47,63,47,62,125,63,16,47,47,62,2
203,47,62,62,78,156,63,109,62,62,62,31,47,2
140,31,109,62,172,62,141,62,125,16,94,47,62,2
125,32,94,32,78,46,109,31,110,16,78,62,79,2
31,109,63,62,172,62,141,62,125,79,94,47,62,2
63,78,62,63,78,94,78,93,63,47,63,47,62,2
78,62,62,78,63,63,78,94,63,78,78,62,63,2
94,78,62,63,78,94,78,93,63,63,63,47,62,2
109,47,31,47,125,78,47,63,109,16,78,0,31,2
47,16,78,93,32,78,31,62,79,0,16,94,16,2
94,156,78,47,125,78,47,63,109,16,78,0,31,2
94,32,78,157,78,79,79,78,78,94,62,31,79,2
94,16,78,0,94,78,78,110,78,78,78,94,94,2
110,78,93,157,78,79,79,78,78,94,62,31,79,2
94,109,63,94,78,109,78,94,63,78,47,78,63,2
94,47,78,63,62,78,63,109,78,63,63,62,47,2
63,62,47,94,78,109,78,94,63,47,47,78,63,2
78,47,125,0,78,62,31,109,47,31,78,31,63,2
94,15,125,78,47,63,15,125,46,16,93,0,63,2
47,47,78,0,78,62,31,109,47,63,78,31,63,2
62,79,94,62,109,94,141,0,62,31,78,32,93,2
78,125,94,78,31,46,63,172,16,78,63,93,78,2
78,31,31,62,109,94,141,0,62,78,78,32,93,2
