@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,9,10,11,13,14,18,19,20,22,23,25,26,27,28,29,31,35,37,39,42,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk7 numeric
@attribute dtsk8 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
16,62,32,140,125,0,63,78,94,78,94,47,78,78,15,94,16,2
343,46,188,78,79,47,156,62,94,156,109,62,110,31,78,62,31,2
0,47,94,63,141,156,47,47,63,47,125,63,140,94,78,47,47,2
47,62,94,78,110,78,47,62,140,156,109,62,110,31,47,62,31,2
31,109,47,172,100,78,62,63,78,62,62,125,110,94,93,94,47,2
32,94,31,78,110,62,141,16,63,46,31,110,110,47,78,78,62,2
109,63,78,172,125,141,0,94,110,62,62,125,110,94,46,94,47,2
78,62,63,78,79,62,94,62,62,94,93,63,63,62,31,63,47,2
62,62,63,63,62,94,188,47,62,63,94,63,79,78,47,78,62,2
78,62,47,78,63,0,93,63,79,94,93,63,63,62,31,63,47,2
47,31,16,125,47,110,62,78,78,78,63,109,16,62,47,78,0,2
16,78,16,32,47,78,94,16,31,78,62,79,78,62,94,16,94,2
156,78,0,125,62,78,31,94,78,78,63,109,16,62,93,78,0,2
32,78,94,78,62,63,93,93,63,79,78,78,78,93,15,62,31,2
16,78,141,94,78,79,78,94,94,78,110,78,141,94,47,78,94,2
78,93,79,78,94,62,172,78,141,79,78,78,78,93,156,62,31,2
109,63,93,78,63,63,140,47,63,109,94,63,78,78,78,47,78,2
47,78,78,62,78,109,63,78,63,78,109,78,156,125,78,63,62,2
62,47,109,78,47,63,62,78,156,109,94,63,78,78,47,47,78,2
47,125,46,78,180,78,109,78,62,62,109,47,46,0,94,78,31,2
15,125,110,47,187,62,94,31,70,63,125,46,1390,141,94,93,0,2
47,78,15,78,172,94,15,94,1390,62,109,47,46,0,31,78,31,2
79,94,94,109,125,63,125,31,109,94,0,62,15,32,78,78,32,2
125,94,109,31,125,94,78,31,111,46,172,16,0,500,78,63,93,2
31,31,78,109,94,0,187,109,0,94,0,62,15,32,94,78,32,2
