@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,7,8,9,11,16,17,18,19,23,24,25,26,27,29,39,41,42,43'

@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
47,62,47,0,15,94,47,16,62,62,94,94,15,62,94,156,16,16,78,63,2
16,78,109,0,31,94,78,78,62,16,359,218,47,16,16,47,62,47,15,47,2
78,94,140,140,31,62,16,94,94,125,109,62,94,62,78,94,109,125,78,78,2
78,94,78,0,16,62,109,125,94,78,63,94,109,62,109,78,78,16,78,78,2
63,94,140,109,16,78,16,78,62,125,109,62,94,62,78,94,109,78,94,78,2
69,90,80,80,442,110,36,79,79,47,78,69,111,41,63,78,109,81,37,33,2
72,78,78,70,411,65,24,81,94,58,150,78,94,94,141,62,141,79,13,78,2
79,90,80,73,185,103,73,31,47,47,78,69,111,41,63,78,109,78,15,33,2
94,109,172,172,47,109,78,78,109,110,78,156,63,141,78,47,125,15,63,78,2
78,156,78,0,31,109,94,15,110,78,63,110,47,62,109,94,62,410,94,109,2
94,109,172,0,15,109,172,94,141,110,78,156,63,141,78,47,125,125,266,78,2
63,93,187,187,0,78,31,78,78,16,78,94,78,47,63,15,78,20,88,109,2
32,62,62,110,31,78,117,20,94,47,63,94,31,63,109,172,15,32,32,63,2
78,93,187,109,47,63,15,78,94,16,78,94,78,47,63,15,78,125,15,109,2
63,78,62,62,31,47,109,47,94,547,1015,79,125,62,63,203,62,62,188,47,2
47,62,78,63,94,78,125,62,63,31,62,93,110,93,188,62,485,47,172,63,2
78,78,62,47,78,109,219,47,63,547,1015,79,125,62,63,203,62,63,125,47,2
78,125,109,109,47,125,0,94,94,63,109,78,93,203,94,47,78,47,78,79,2
78,94,110,78,78,187,62,47,109,78,78,109,110,62,94,94,62,78,78,78,2
94,125,109,93,78,110,31,78,94,63,109,78,93,203,94,47,78,94,31,79,2
110,94,79,79,31,140,16,46,110,31,79,125,62,109,110,15,94,31,78,94,2
125,78,78,98,59,124,94,31,94,63,93,79,93,140,78,78,0,62,32,93,2
344,94,79,94,31,125,16,94,78,31,79,125,62,109,110,15,94,62,32,94,2
79,79,140,140,47,90,0,62,110,47,78,94,94,47,78,0,78,16,78,94,2
94,78,94,0,16,93,140,16,78,63,78,78,94,78,94,78,31,78,15,62,2
63,79,140,0,63,125,31,78,109,47,78,94,94,47,78,0,78,94,15,94,2
46,47,78,78,125,79,16,62,156,94,156,63,109,62,110,234,31,47,78,62,2
47,93,63,125,62,141,62,47,78,32,47,62,125,63,140,63,94,16,78,47,2
16,47,78,79,46,110,16,62,47,94,156,63,109,62,110,234,31,62,47,62,2
109,94,172,172,15,100,46,63,94,78,62,141,62,125,110,109,94,16,93,94,2
78,93,78,94,46,110,141,16,94,47,46,109,31,110,110,78,47,16,78,78,2
94,94,172,78,94,125,15,94,516,78,62,141,62,125,110,109,94,79,46,94,2
62,62,78,78,62,79,78,62,78,109,94,78,93,63,63,78,62,47,31,63,2
63,63,63,63,125,62,125,47,63,62,63,78,94,63,79,93,78,78,47,78,2
63,62,78,47,125,63,78,63,78,109,94,78,93,63,63,78,62,63,31,63,2
31,78,125,125,47,47,16,78,78,15,78,47,63,109,16,110,62,16,47,78,2
78,16,32,484,500,47,47,16,16,31,78,31,62,79,78,109,62,0,94,16,2
47,78,125,0,47,62,78,94,78,15,78,47,63,109,16,110,62,16,93,78,2
78,62,78,78,172,62,78,93,94,141,79,79,78,78,78,63,93,94,15,62,2
62,93,94,109,157,78,141,94,110,94,78,78,110,78,141,78,94,78,47,78,2
63,62,78,47,156,94,63,78,79,141,79,79,78,78,78,63,93,94,156,62,2
63,63,78,78,187,63,62,47,63,156,109,78,94,63,78,188,78,78,78,47,2
62,62,62,63,62,78,94,78,78,63,78,63,109,78,156,62,125,63,78,63,2
47,63,78,63,140,47,47,78,62,156,109,78,94,63,78,188,78,47,47,47,2
125,156,78,78,78,180,16,78,266,78,62,31,109,47,46,93,0,31,94,78,2
94,15,47,141,47,187,47,31,156,94,63,15,125,46,1390,63,141,16,94,93,2
0,156,78,0,15,172,94,94,31,78,62,31,109,47,46,93,0,63,31,78,2
94,78,109,109,31,125,141,31,110,63,94,141,0,62,15,93,32,31,78,78,2
16,47,31,110,31,125,78,31,156,94,46,63,172,16,0,125,500,78,78,63,2
94,78,109,0,0,94,47,109,63,63,94,141,0,62,15,93,32,78,94,78,2
